日付け,終値,始値,高値,安値,出来高,変化率 %
2022年07月29日,93.03,93.79,94.29,92.86,270.21K,-0.77%
2022年07月28日,93.75,95.49,95.61,93.56,283.25K,-1.78%
2022年07月27日,95.45,95.00,95.71,94.74,227.76K,0.48%
2022年07月26日,94.99,95.01,95.29,94.56,240.07K,-0.03%
2022年07月25日,95.02,94.34,95.21,93.88,253.60K,0.86%
2022年07月22日,94.21,95.22,95.42,94.04,233.46K,-1.02%
2022年07月21日,95.18,95.19,95.63,94.94,277.56K,0.00%
2022年07月20日,95.18,95.33,95.78,95.00,251.95K,-0.15%
2022年07月19日,95.32,94.11,95.43,93.99,234.68K,1.31%
2022年07月18日,94.09,94.04,94.67,93.90,219.71K,0.00%
2022年07月15日,94.09,93.78,94.29,93.14,248.64K,0.39%
2022年07月14日,93.72,92.92,94.28,92.59,301.52K,0.88%
2022年07月13日,92.90,92.49,93.40,92.21,275.29K,0.45%
2022年07月12日,92.48,92.54,92.68,91.94,265.44K,0.00%
2022年07月11日,92.48,93.36,93.71,92.29,251.92K,-0.89%
2022年07月08日,93.31,93.00,93.51,92.32,288.35K,0.37%
2022年07月07日,92.97,92.11,93.19,91.89,276.11K,0.94%
2022年07月06日,92.10,92.44,92.54,91.52,314.05K,-0.35%
2022年07月05日,92.42,93.17,94.01,91.72,304.74K,-0.77%
2022年07月04日,93.14,92.11,93.31,91.58,230.79K,1.11%
2022年07月01日,92.12,93.71,93.82,91.40,247.75K,-1.65%
2022年06月30日,93.67,94.00,94.30,93.32,304.39K,-0.33%
2022年06月29日,93.98,94.03,94.33,93.46,280.93K,-0.02%
2022年06月28日,94.00,93.80,94.74,93.45,282.87K,0.26%
2022年06月27日,93.76,93.84,94.08,92.96,263.42K,-0.17%
2022年06月24日,93.92,92.97,94.05,92.77,289.43K,1.04%
2022年06月23日,92.95,94.39,94.40,92.63,322.87K,-1.50%
2022年06月22日,94.37,95.25,95.32,93.58,260.65K,-0.86%
2022年06月21日,95.19,93.89,95.33,93.79,258.93K,1.43%
2022年06月20日,93.85,93.64,94.39,93.28,226.78K,0.30%
2022年06月17日,93.57,93.17,94.58,93.01,347.91K,0.45%
2022年06月16日,93.15,93.74,94.56,91.96,335.33K,-0.60%
2022年06月15日,93.71,93.07,93.96,92.93,292.12K,0.71%
2022年06月14日,93.05,93.06,93.92,92.42,287.46K,0.04%
2022年06月13日,93.01,94.64,94.99,92.61,264.15K,-1.87%
2022年06月10日,94.78,95.36,95.57,94.32,243.14K,-0.58%
2022年06月09日,95.33,96.58,96.79,95.28,244.15K,-1.26%
2022年06月08日,96.55,95.94,96.90,95.73,237.82K,0.76%
2022年06月07日,95.82,94.86,96.15,94.81,213.75K,1.04%
2022年06月06日,94.83,94.35,95.01,93.76,178.94K,0.57%
2022年06月03日,94.29,94.32,94.58,94.09,139.28K,-0.02%
2022年06月02日,94.31,93.37,94.40,92.84,184.79K,1.05%
