日付け,終値,始値,高値,安値,出来高,変化率 %
2022年07月29日,33.81,33.47,33.94,33.35,48.15M,1.47%
2022年07月28日,33.32,33.50,33.75,32.90,40.18M,-0.80%
2022年07月27日,33.59,33.24,33.77,32.95,30.34M,1.63%
2022年07月26日,33.05,33.41,33.78,32.96,30.65M,-2.02%
2022年07月25日,33.73,33.78,33.97,33.44,30.38M,0.90%
2022年07月22日,33.43,33.60,33.94,33.09,27.12M,-0.65%
2022年07月21日,33.65,33.09,33.67,32.95,31.24M,0.87%
2022年07月20日,33.36,33.18,33.45,32.95,35.51M,0.03%
2022年07月19日,33.35,32.90,33.62,32.68,46.87M,3.38%
2022年07月18日,32.26,33.08,33.38,32.10,56.38M,0.03%
2022年07月15日,32.25,30.65,32.63,30.61,77.80M,7.04%
2022年07月14日,30.13,30.09,30.22,29.67,51.71M,-2.30%
2022年07月13日,30.84,31.07,31.15,30.40,44.15M,-1.66%
2022年07月12日,31.36,31.02,32.03,30.98,39.53M,-0.32%
2022年07月11日,31.46,31.55,31.79,31.29,29.34M,-1.04%
2022年07月08日,31.79,32.01,32.25,31.56,31.15M,-0.22%
2022年07月07日,31.86,31.50,32.01,31.47,40.14M,2.84%
2022年07月06日,30.98,31.01,31.25,30.64,35.93M,-0.83%
2022年07月05日,31.24,30.80,31.24,30.45,47.44M,-1.01%
2022年07月01日,31.56,30.98,31.67,30.63,40.24M,1.38%
2022年06月30日,31.13,31.17,31.55,30.64,46.31M,-2.29%
2022年06月29日,31.86,32.23,32.44,31.66,35.15M,-1.24%
2022年06月28日,32.26,32.83,33.50,32.19,49.92M,-0.28%
2022年06月27日,32.35,32.42,32.60,31.91,47.90M,0.12%
2022年06月24日,32.31,31.25,32.77,31.23,79.50M,0.72%
2022年06月23日,32.08,32.38,32.40,31.26,44.09M,-1.60%
2022年06月22日,32.60,32.39,32.94,32.32,38.34M,-0.76%
2022年06月21日,32.85,32.89,33.29,32.62,53.54M,2.91%
2022年06月17日,31.92,32.03,32.58,31.64,80.47M,0.22%
2022年06月16日,31.85,31.50,32.00,30.86,61.36M,-0.62%
2022年06月15日,32.05,31.98,32.49,31.42,51.54M,1.88%
2022年06月14日,31.46,31.92,32.60,31.23,49.35M,-1.75%
2022年06月13日,32.02,32.39,32.77,31.74,61.22M,-3.47%
2022年06月10日,33.17,33.68,34.04,33.02,49.35M,-3.88%
2022年06月09日,34.51,35.74,35.84,34.50,49.46M,-3.85%
2022年06月08日,35.89,35.92,36.11,35.52,33.59M,-1.27%
2022年06月07日,36.35,35.90,36.40,35.74,29.15M,0.55%
2022年06月06日,36.15,36.70,37.21,36.10,40.39M,-0.11%
2022年06月03日,36.19,36.48,36.68,36.13,25.24M,-1.39%
2022年06月02日,36.70,36.41,36.71,36.06,35.34M,0.08%
2022年06月01日,36.67,37.46,37.47,36.17,35.24M,-1.42%
2022年05月31日,37.20,36.81,37.53,36.61,71.61M,0.49%
2022年05月27日,37.02,36.89,37.05,36.58,43.37M,0.95%
2022年05月26日,36.67,36.50,36.84,36.34,60.20M,2.32%
2022年05月25日,35.84,35.50,36.27,35.29,49.34M,0.53%
2022年05月24日,35.65,35.47,35.96,34.96,46.15M,-0.61%
2022年05月23日,35.87,34.76,36.26,34.66,69.08M,5.94%
2022年05月20日,33.86,34.80,34.98,32.96,62.41M,-1.71%
2022年05月19日,34.45,34.29,34.84,34.25,47.00M,-1.23%
2022年05月18日,34.88,35.62,35.69,34.60,47.40M,-3.08%
2022年05月17日,35.99,35.62,36.22,35.43,42.64M,3.39%
2022年05月16日,34.81,35.00,35.17,34.41,39.08M,-1.02%
2022年05月13日,35.17,35.53,35.73,34.76,49.12M,0.29%
2022年05月12日,35.07,35.01,35.43,34.26,61.23M,-1.41%
2022年05月11日,35.57,35.90,36.92,35.51,54.97M,-0.53%
2022年05月10日,35.76,36.75,37.13,35.18,60.24M,-1.68%
2022年05月09日,36.37,36.87,37.06,36.06,51.24M,-2.88%
2022年05月06日,37.45,37.37,37.62,36.61,50.44M,-0.24%
2022年05月05日,37.54,38.05,38.21,36.87,48.86M,-2.80%
2022年05月04日,38.62,37.37,38.75,37.28,57.86M,4.01%
