日付け,終値,始値,高値,安値,出来高,変化率 %
2022年07月29日,25.7420,25.9075,26.0405,25.5595,339.62K,-0.58%
2022年07月28日,25.8920,26.0420,26.0470,25.6980,337.25K,-0.55%
2022年07月27日,26.0350,25.5850,26.0815,25.5115,304.82K,1.79%
2022年07月26日,25.5770,25.5095,25.6455,25.3230,302.98K,0.29%
2022年07月25日,25.5020,24.7450,25.5175,24.7130,269.91K,3.07%
2022年07月22日,24.7420,24.9820,25.1065,24.7255,303.38K,-0.99%
2022年07月21日,24.9890,25.2590,25.5050,24.9580,316.14K,-1.05%
2022年07月20日,25.2540,25.5235,25.6210,25.2575,302.07K,-1.04%
2022年07月19日,25.5190,25.4015,25.7315,25.2625,290.77K,0.48%
2022年07月18日,25.3980,25.6115,25.8050,25.3940,263.24K,-0.82%
2022年07月15日,25.6070,25.6120,25.7870,25.4735,298.85K,0.04%
2022年07月14日,25.5970,25.4830,25.8480,25.3585,331.27K,0.48%
2022年07月13日,25.4750,25.1705,25.5905,25.1360,306.75K,1.23%
2022年07月12日,25.1650,25.5520,25.5710,25.1280,309.37K,-1.50%
2022年07月11日,25.5480,25.8845,26.1450,25.5130,276.43K,-1.30%
2022年07月08日,25.8850,25.4735,25.9270,25.3170,303.24K,1.67%
2022年07月07日,25.4610,25.0365,25.5055,24.9620,282.56K,1.71%
2022年07月06日,25.0340,25.2245,25.2275,24.8380,350.00K,-0.72%
2022年07月05日,25.2150,25.4615,25.5870,25.0995,323.94K,-0.97%
2022年07月04日,25.4610,25.3855,25.6735,25.2835,218.95K,0.45%
2022年07月01日,25.3470,25.8225,25.8855,25.2565,314.46K,-1.82%
2022年06月30日,25.8180,26.3555,26.3995,25.8000,336.03K,-1.99%
2022年06月29日,26.3410,25.8430,26.3970,25.7755,344.72K,1.98%
2022年06月28日,25.8290,25.8545,26.2515,25.7905,337.65K,-0.08%
2022年06月27日,25.8500,25.7710,26.0090,25.6565,283.20K,0.28%
2022年06月24日,25.7770,25.7435,25.9695,25.5940,318.99K,0.17%
2022年06月23日,25.7340,26.2305,26.2350,25.7190,360.72K,-1.85%
2022年06月22日,26.2180,26.6540,26.6745,26.2160,308.61K,-1.58%
2022年06月21日,26.6380,26.0275,26.6775,26.0020,313.42K,2.35%
2022年06月20日,26.0260,26.1760,26.2840,26.0005,248.08K,-0.60%
2022年06月17日,26.1840,26.1605,26.6965,26.1480,373.17K,0.11%
2022年06月16日,26.1550,26.4805,26.6505,26.0170,201.16K,-1.19%
2022年06月15日,26.4710,26.4715,26.6540,26.2195,371.83K,0.02%
2022年06月14日,26.4650,26.2725,26.4890,26.1705,353.89K,0.75%
2022年06月13日,26.2680,26.9360,27.0975,26.0405,321.54K,-2.53%
2022年06月10日,26.9500,27.3905,27.4350,26.7385,289.27K,-1.51%
2022年06月09日,27.3640,27.4045,27.5180,27.1805,267.26K,-0.10%
2022年06月08日,27.3910,27.2150,27.7105,27.2130,306.99K,0.68%
2022年06月07日,27.2070,27.4990,27.7355,26.8695,289.48K,-1.06%
2022年06月06日,27.4990,27.3955,27.5660,27.3060,220.91K,0.34%
2022年06月03日,27.4070,27.0605,27.4210,26.9745,228.13K,1.29%
2022年06月02日,27.0570,27.0175,27.2140,26.9075,241.52K,0.18%
2022年06月01日,27.0080,27.1910,27.4120,27.0060,272.94K,-0.64%
2022年05月31日,27.1820,26.8340,27.4040,26.8260,266.38K,1.35%
2022年05月30日,26.8210,26.8580,27.2515,26.8100,188.28K,-0.14%
2022年05月27日,26.8580,26.6560,26.9605,26.5460,277.13K,0.79%
2022年05月26日,26.6470,26.3830,26.7810,26.2325,275.58K,1.11%
2022年05月25日,26.3550,26.3145,26.4995,26.1020,292.73K,0.18%
2022年05月24日,26.3070,26.5590,26.6230,26.0600,319.68K,-0.98%
2022年05月23日,26.5670,26.2160,26.7240,26.0565,235.18K,1.42%
2022年05月20日,26.1960,25.9205,26.3770,25.8605,307.26K,1.12%
2022年05月19日,25.9070,25.8055,26.1950,25.6745,307.61K,0.43%
2022年05月18日,25.7970,26.1960,26.2400,25.6110,243.54K,-1.52%
2022年05月17日,26.1950,25.5205,26.2400,25.4535,228.46K,2.65%
2022年05月16日,25.5180,25.5420,25.6685,25.3225,224.56K,-0.01%
2022年05月13日,25.5200,24.9970,25.6365,24.9785,242.40K,2.12%
2022年05月12日,24.9900,25.2965,25.3135,24.6155,320.81K,-1.19%
2022年05月11日,25.2920,25.4150,25.5685,25.2115,285.72K,-0.44%
2022年05月10日,25.4040,25.2345,25.5090,25.1435,296.08K,0.70%
2022年05月09日,25.2280,25.7120,25.8665,25.2320,245.77K,-1.84%
2022年05月06日,25.7000,25.8895,26.0160,25.4825,301.13K,-0.68%
2022年05月05日,25.8760,26.2370,26.4415,25.7850,294.71K,-1.34%
2022年05月04日,26.2280,26.2320,26.3880,25.8425,240.49K,-0.03%
2022年05月03日,26.2360,25.5770,26.2525,25.5335,228.21K,2.56%
2022年05月02日,25.5810,26.0985,26.2410,25.5545,239.66K,-2.01%
2022年04月29日,26.1070,26.4750,26.7970,26.0695,277.92K,-1.41%
2022年04月28日,26.4800,25.8680,26.5220,25.8545,279.07K,2.40%
2022年04月27日,25.8600,25.4485,26.0190,25.3935,285.89K,1.65%
2022年04月26日,25.4390,26.2690,26.2890,25.4335,256.22K,-3.11%
2022年04月25日,26.2550,26.8190,26.8770,25.7910,271.33K,-2.05%
2022年04月22日,26.8050,27.7740,27.8420,26.5695,224.40K,-3.47%
2022年04月21日,27.7680,27.6660,27.8455,27.6480,155.67K,0.39%
2022年04月20日,27.6600,27.6270,27.7330,27.3390,240.79K,0.18%
2022年04月19日,27.6090,27.2875,27.7230,27.2835,214.52K,1.22%
2022年04月18日,27.2750,26.9015,27.3450,26.8775,150.30K,1.41%
2022年04月15日,26.8960,26.7780,26.9430,26.7655,144.14K,0.48%
2022年04月14日,26.7670,26.7855,26.8780,26.5375,206.56K,-0.03%
2022年04月13日,26.7750,26.8175,27.0765,26.7140,201.74K,-0.12%
2022年04月12日,26.8070,26.6985,27.0570,26.6440,198.01K,0.45%
2022年04月11日,26.6880,26.4140,26.8200,26.4015,194.20K,0.85%
2022年04月08日,26.4620,26.0735,26.4895,25.9905,179.05K,1.50%
2022年04月07日,26.0700,26.2490,26.4370,25.9345,186.28K,-0.65%
2022年04月06日,26.2410,26.5715,26.6680,26.1895,207.08K,-1.20%
2022年04月05日,26.5590,26.7355,26.8320,26.4010,178.59K,-0.63%
2022年04月04日,26.7270,26.3240,26.7520,26.2430,170.44K,1.69%
2022年04月01日,26.2840,25.6710,26.3410,25.6685,216.64K,2.40%
2022年03月31日,25.6680,25.5500,25.7360,25.3760,217.64K,0.55%
2022年03月30日,25.5270,25.8225,25.8970,25.4355,217.90K,-1.11%
2022年03月29日,25.8130,25.9905,26.2065,25.6470,254.88K,-0.67%
2022年03月28日,25.9870,25.7140,26.3760,25.6115,214.59K,1.03%
2022年03月25日,25.7220,25.3475,25.8270,25.1030,191.76K,1.54%
2022年03月24日,25.3330,25.1000,25.5990,25.0635,195.47K,0.96%
2022年03月23日,25.0930,24.6025,25.1245,24.5555,185.12K,2.05%
2022年03月22日,24.5890,24.2025,24.6285,24.1935,171.56K,1.62%
2022年03月21日,24.1960,23.7210,24.2195,23.6915,149.19K,2.01%
2022年03月18日,23.7200,23.5285,23.8675,23.5020,153.57K,0.85%
2022年03月17日,23.5210,23.3875,23.5915,23.2530,169.63K,0.59%
2022年03月16日,23.3830,22.9085,23.4155,22.8825,200.68K,2.11%
2022年03月15日,22.8990,23.0785,23.1540,22.8915,173.21K,-0.76%
2022年03月14日,23.0740,23.1210,23.4120,22.9675,171.79K,-0.14%
2022年03月11日,23.1070,23.1755,23.4735,23.0740,183.62K,-0.27%
2022年03月10日,23.1700,23.1080,23.1815,22.8800,184.07K,0.29%
2022年03月09日,23.1030,22.8590,23.2315,22.8530,181.68K,1.09%
2022年03月08日,22.8540,22.5560,22.9235,22.5480,219.44K,1.32%
2022年03月07日,22.5570,22.6800,22.9265,22.5360,210.31K,-0.50%
2022年03月04日,22.6710,22.9440,22.9700,22.4985,215.12K,-1.18%
2022年03月03日,22.9410,22.6520,23.0370,22.6250,184.95K,1.31%
2022年03月02日,22.6450,22.2660,22.7160,22.1290,149.58K,1.73%
2022年03月01日,22.2590,22.2870,22.3440,22.2255,103.86K,-0.11%
2022年02月28日,22.2830,22.3820,22.4220,22.2590,113.10K,-0.44%
2022年02月25日,22.3810,22.5495,22.7435,22.3375,203.37K,-0.72%
2022年02月24日,22.5440,22.9500,22.9780,22.3385,253.12K,-1.75%
2022年02月23日,22.9450,22.7500,23.0255,22.7300,163.73K,0.87%
2022年02月22日,22.7470,22.4800,22.8230,22.4330,214.18K,1.19%
2022年02月21日,22.4800,22.3900,22.6305,22.2850,156.49K,0.46%
2022年02月18日,22.3760,22.2210,22.5250,22.1930,191.13K,0.71%
2022年02月17日,22.2180,22.4830,22.4930,22.1710,194.07K,-1.14%
2022年02月16日,22.4740,22.4120,22.5310,22.3015,189.31K,0.30%
2022年02月15日,22.4070,22.1550,22.4155,22.0990,184.67K,1.16%
2022年02月14日,22.1500,21.9440,22.2540,21.8575,215.71K,0.83%
2022年02月11日,21.9670,22.0980,22.3750,21.8835,226.09K,-0.57%
2022年02月10日,22.0930,22.0605,22.4235,22.0545,224.05K,0.17%
2022年02月09日,22.0560,21.9685,22.1520,21.8205,174.87K,0.41%
2022年02月08日,21.9650,21.8640,21.9885,21.8245,182.07K,0.45%
2022年02月07日,21.8670,21.6325,21.9255,21.5670,183.42K,1.15%
2022年02月04日,21.6180,21.7565,21.7925,21.5365,196.68K,-0.63%
2022年02月03日,21.7540,21.7490,21.8260,21.5630,191.69K,0.05%
2022年02月02日,21.7440,21.7860,21.8020,21.5025,144.53K,-0.17%
2022年02月01日,21.7810,21.7030,21.7935,21.5760,166.17K,0.39%
2022年01月31日,21.6960,21.4675,21.8125,21.4025,177.70K,1.06%
2022年01月28日,21.4680,21.3360,21.4720,21.2775,191.33K,0.65%
2022年01月27日,21.3300,21.1020,21.5590,21.0690,216.80K,1.10%
2022年01月26日,21.0970,20.9205,21.2085,20.8975,192.23K,0.88%
2022年01月25日,20.9120,20.7670,20.9855,20.6455,217.07K,0.76%
2022年01月24日,20.7550,20.8215,20.9030,20.5860,242.97K,-0.33%
2022年01月21日,20.8240,21.0540,21.0650,20.7875,211.51K,-1.07%
2022年01月20日,21.0490,21.0200,21.2150,20.9255,195.55K,0.15%
2022年01月19日,21.0170,20.5880,21.0230,20.5145,205.51K,2.09%
2022年01月18日,20.5860,20.7785,20.8565,20.5235,202.63K,-0.89%
2022年01月17日,20.7700,20.6335,20.8525,20.6190,127.40K,0.67%
2022年01月14日,20.6310,20.6515,20.7205,20.4545,180.57K,-0.09%
2022年01月13日,20.6490,20.7165,20.7830,20.5815,159.69K,-0.30%
2022年01月12日,20.7110,20.7025,20.7660,20.5990,168.39K,0.05%
2022年01月11日,20.7000,20.3425,20.7235,20.3255,167.31K,1.78%
2022年01月10日,20.3380,20.5120,20.5640,20.2280,145.57K,-0.79%
2022年01月07日,20.5000,20.3795,20.5755,20.2895,149.27K,0.61%
2022年01月06日,20.3750,20.3400,20.4405,20.2085,179.80K,0.20%
2022年01月05日,20.3340,20.4590,20.5125,20.2870,163.81K,-0.59%
2022年01月04日,20.4540,20.2975,20.6010,20.2885,160.09K,0.79%
2022年01月03日,20.2930,20.6585,20.7175,20.2945,118.14K,-1.74%
2021年12月31日,20.6520,20.6575,20.6775,20.6405,58.74K,0.01%
2021年12月30日,20.6500,20.1565,20.7635,20.1510,141.92K,2.48%
2021年12月29日,20.1500,20.3995,20.4385,20.1355,125.31K,-1.20%
2021年12月28日,20.3950,20.4155,20.4385,20.2850,123.05K,-0.09%
2021年12月27日,20.4130,20.1550,20.4325,20.0995,104.46K,1.26%
2021年12月24日,20.1590,20.1565,20.1785,20.1375,106.10K,0.03%
2021年12月23日,20.1520,20.1815,20.3330,19.9940,149.17K,-0.10%
2021年12月22日,20.1730,19.8615,20.2075,19.8320,140.51K,1.61%
2021年12月21日,19.8540,19.7815,19.9065,19.7735,158.55K,0.39%
2021年12月20日,19.7770,19.9475,19.9675,19.7795,181.93K,-0.89%
2021年12月17日,19.9550,19.9880,20.0735,19.8070,187.01K,-0.16%
2021年12月16日,19.9860,20.0715,20.1525,19.8475,178.37K,-0.42%
2021年12月15日,20.0700,20.0150,20.1200,19.8660,195.45K,0.29%
2021年12月14日,20.0110,19.9930,20.2140,19.9560,178.84K,0.11%
2021年12月13日,19.9890,20.1800,20.2955,19.9860,156.00K,-1.03%
2021年12月10日,20.1970,20.3695,20.4695,20.1390,178.29K,-0.78%
2021年12月09日,20.3550,20.5455,20.5745,20.2730,175.29K,-0.90%
2021年12月08日,20.5400,20.2350,20.6040,20.1755,195.27K,1.53%
2021年12月07日,20.2310,19.9425,20.2480,19.9305,210.92K,1.46%
2021年12月06日,19.9400,19.9490,20.0875,19.8360,188.48K,-0.05%
2021年12月03日,19.9500,20.0410,20.2595,19.8090,223.92K,-0.43%
2021年12月02日,20.0370,19.7980,20.1405,19.7795,225.74K,1.23%
2021年12月01日,19.7940,20.1225,20.3325,19.7970,231.94K,-1.58%
2021年11月30日,20.1120,20.2655,20.3325,19.9710,255.78K,-0.72%
2021年11月29日,20.2580,20.2065,20.4095,20.1405,184.35K,0.31%
2021年11月26日,20.1950,20.7235,20.7270,20.1335,254.18K,-2.53%
2021年11月25日,20.7190,20.5910,20.7985,20.5650,159.37K,0.65%
2021年11月24日,20.5850,20.6585,20.7110,20.4810,198.46K,-0.36%
2021年11月23日,20.6600,20.5685,20.6820,20.2905,223.95K,0.50%
2021年11月22日,20.5570,20.3010,20.6005,20.2905,216.54K,1.25%
2021年11月19日,20.3030,20.5565,20.6325,20.2925,181.06K,-1.22%
