"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2022年7月31日","3,113,082","3,152,799","3,224,381","3,101,400","1.85K","-1.26%"
"2022年7月30日","3,152,799","3,168,503","3,284,145","3,132,322","2.19K","-0.50%"
"2022年7月29日","3,168,503","3,205,470","3,249,811","3,140,500","3.45K","-1.20%"
"2022年7月28日","3,206,956","3,124,543","3,249,999","3,058,271","3.84K","2.64%"
"2022年7月27日","3,124,543","2,912,351","3,156,000","2,881,858","3.07K","7.29%"
"2022年7月26日","2,912,351","2,909,321","2,917,788","2,833,000","2.63K","0.13%"
"2022年7月25日","2,908,522","3,079,947","3,093,848","2,902,166","2.88K","-5.57%"
"2022年7月24日","3,079,947","3,056,032","3,134,700","3,032,187","1.90K","0.78%"
"2022年7月23日","3,056,032","3,089,790","3,132,729","2,990,843","2.03K","-1.09%"
"2022年7月22日","3,089,790","3,173,551","3,244,172","3,063,673","2.85K","-2.64%"
"2022年7月21日","3,173,551","3,215,121","3,243,373","3,088,888","3.44K","-1.29%"
"2022年7月20日","3,215,121","3,232,731","3,354,929","3,166,449","4.88K","-0.54%"
"2022年7月19日","3,232,731","3,102,162","3,286,887","2,975,179","6.25K","4.18%"
"2022年7月18日","3,102,938","2,875,300","3,146,070","2,871,337","4.46K","7.92%"
"2022年7月17日","2,875,300","2,935,070","2,997,141","2,870,910","2.09K","-2.04%"
"2022年7月16日","2,935,070","2,886,497","2,987,610","2,836,665","1.82K","1.68%"
"2022年7月15日","2,886,497","2,859,445","2,936,117","2,827,510","2.71K","0.94%"
"2022年7月14日","2,859,721","2,784,441","2,897,173","2,727,131","2.86K","2.68%"
"2022年7月13日","2,785,035","2,642,522","2,794,317","2,603,001","3.81K","5.39%"
"2022年7月12日","2,642,522","2,741,740","2,756,851","2,632,500","2.81K","-3.60%"
"2022年7月11日","2,741,180","2,841,968","2,853,954","2,728,577","2.50K","-3.55%"
"2022年7月10日","2,841,968","2,936,574","2,937,870","2,811,613","1.95K","-3.22%"
"2022年7月09日","2,936,574","2,938,000","2,988,247","2,902,200","1.68K","-0.09%"
"2022年7月08日","2,939,209","2,935,584","3,050,518","2,887,000","4.32K","0.12%"
"2022年7月07日","2,935,584","2,792,717","2,967,615","2,744,565","3.12K","5.12%"
"2022年7月06日","2,792,717","2,731,520","2,807,639","2,670,543","3.21K","2.24%"
"2022年7月05日","2,731,520","2,744,310","2,816,000","2,621,990","3.44K","-0.46%"
"2022年7月04日","2,744,174","2,606,656","2,760,999","2,572,062","2.66K","5.28%"
"2022年7月03日","2,606,656","2,600,900","2,655,504","2,540,000","1.49K","0.22%"
"2022年7月02日","2,600,900","2,605,734","2,630,000","2,566,067","1.25K","-0.21%"
"2022年7月01日","2,606,426","2,708,458","2,836,769","2,566,017","4.29K","-3.74%"
"2022年6月30日","2,707,746","2,745,502","2,753,391","2,526,217","3.25K","-1.38%"
"2022年6月29日","2,745,502","2,756,864","2,788,888","2,706,987","2.49K","-0.41%"
"2022年6月28日","2,756,864","2,807,387","2,877,326","2,749,208","2.37K","-1.80%"
"2022年6月27日","2,807,387","2,842,692","2,903,226","2,780,000","2.31K","-1.24%"
"2022年6月26日","2,842,692","2,905,004","2,954,300","2,831,648","1.91K","-2.14%"
"2022年6月25日","2,905,004","2,869,229","2,919,000","2,828,347","2.06K","1.25%"
"2022年6月24日","2,869,229","2,841,759","2,913,630","2,786,000","2.77K","0.97%"
"2022年6月23日","2,841,759","2,717,427","2,856,904","2,705,189","3.30K","4.55%"
"2022年6月22日","2,717,974","2,825,420","2,839,500","2,692,640","3.88K","-3.80%"
"2022年6月21日","2,825,420","2,776,542","2,955,632","2,749,162","4.04K","1.76%"
"2022年6月20日","2,776,542","2,781,391","2,839,419","2,646,367","3.57K","-0.17%"
"2022年6月19日","2,781,391","2,557,404","2,830,754","2,420,058","4.09K","8.76%"
"2022年6月18日","2,557,404","2,760,047","2,800,719","2,376,000","4.12K","-7.34%"
"2022年6月17日","2,760,047","2,699,210","2,867,592","2,681,305","3.80K","2.25%"
"2022年6月16日","2,699,210","3,025,282","3,087,654","2,680,517","5.09K","-10.86%"
"2022年6月15日","3,028,131","2,993,222","3,052,999","2,704,367","6.96K","1.17%"
"2022年6月14日","2,993,222","3,022,450","3,132,929","2,800,000","8.63K","-0.97%"
"2022年6月13日","3,022,450","3,581,890","3,622,740","2,947,756","9.44K","-15.63%"
"2022年6月12日","3,582,369","3,817,126","3,834,158","3,580,000","3.16K","-6.14%"
"2022年6月11日","3,816,527","3,909,892","3,955,555","3,779,000","1.94K","-2.39%"
"2022年6月10日","3,909,892","4,044,534","4,063,109","3,876,068","2.44K","-3.33%"
"2022年6月09日","4,044,534","4,057,150","4,099,500","4,001,000","1.64K","-0.31%"
"2022年6月08日","4,057,150","4,128,468","4,151,625","3,969,849","2.79K","-1.73%"
"2022年6月07日","4,128,468","4,143,000","4,183,225","3,873,002","3.78K","-0.35%"
"2022年6月06日","4,143,000","3,908,524","4,164,231","3,904,704","2.83K","6.00%"
"2022年6月05日","3,908,524","3,904,501","3,944,077","3,863,520","0.93K","0.10%"
"2022年6月04日","3,904,501","3,885,999","3,922,464","3,856,190","0.62K","0.48%"
"2022年6月03日","3,885,999","3,955,681","3,980,299","3,821,229","1.68K","-1.76%"
"2022年6月02日","3,955,681","3,877,553","3,986,279","3,838,000","1.95K","2.08%"
"2022年6月01日","3,875,105","4,092,000","4,126,980","3,813,974","2.87K","-5.27%"
"2022年5月31日","4,090,869","4,051,397","4,159,554","4,014,309","2.30K","0.97%"
"2022年5月30日","4,051,397","3,747,454","4,107,000","3,721,211","3.16K","8.11%"
"2022年5月29日","3,747,454","3,688,235","3,758,111","3,664,854","0.92K","1.61%"
"2022年5月28日","3,688,235","3,636,753","3,716,433","3,625,963","0.93K","1.42%"
"2022年5月27日","3,636,753","3,709,973","3,730,805","3,594,707","3.05K","-1.97%"
"2022年5月26日","3,709,973","3,751,496","3,802,599","3,570,435","3.23K","-1.11%"
"2022年5月25日","3,751,496","3,757,205","3,835,680","3,721,217","2.29K","-0.15%"
"2022年5月24日","3,757,205","3,723,114","3,783,813","3,625,564","2.43K","0.92%"
"2022年5月23日","3,723,114","3,871,138","3,911,153","3,690,000","2.71K","-3.82%"
