日付け,終値,始値,高値,安値,出来高,変化率 %
2022年07月31日,"23,294.0","23,639.0","24,211.0","23,233.0",3.15K,-1.46%
2022年07月30日,"23,639.0","23,764.0","24,641.0","23,520.0",4.30K,-0.53%
2022年07月29日,"23,764.0","23,851.6","24,426.0","23,456.0",5.03K,-0.37%
2022年07月28日,"23,851.6","22,951.0","24,172.0","22,601.0",6.63K,3.92%
2022年07月27日,"22,951.0","21,271.0","23,098.0","21,056.0",7.47K,7.90%
2022年07月26日,"21,271.0","21,302.6","21,329.0","20,738.0",4.43K,-0.15%
2022年07月25日,"21,302.6","22,579.2","22,663.3","21,262.0",4.42K,-5.65%
2022年07月24日,"22,579.2","22,446.0","23,001.0","22,262.0",2.34K,0.59%
2022年07月23日,"22,446.0","22,675.9","22,993.0","21,949.0",2.69K,-1.01%
2022年07月22日,"22,675.9","23,151.8","23,729.0","22,517.0",5.07K,-2.06%
2022年07月21日,"23,151.8","23,209.0","23,409.0","22,350.0",8.12K,-0.25%
2022年07月20日,"23,209.0","23,398.0","24,276.0","22,915.0",8.44K,-0.81%
2022年07月19日,"23,398.0","22,476.0","23,783.0","21,599.0",10.21K,4.10%
2022年07月18日,"22,476.0","20,781.0","22,749.0","20,763.0",8.52K,8.16%
2022年07月17日,"20,781.0","21,224.0","21,666.0","20,751.0",3.17K,-2.09%
2022年07月16日,"21,224.0","20,820.0","21,590.0","20,477.0",3.40K,1.96%
2022年07月15日,"20,816.0","20,582.0","21,190.0","20,375.7",3.59K,1.16%
2022年07月14日,"20,578.0","20,246.0","20,880.0","19,647.0",6.06K,1.64%
2022年07月13日,"20,246.0","19,310.5","20,282.7","18,926.8",12.00K,4.84%
2022年07月12日,"19,310.5","19,945.0","20,038.2","19,243.9",6.78K,-3.18%
2022年07月11日,"19,945.0","20,854.6","20,865.2","19,876.0",6.61K,-4.36%
2022年07月10日,"20,854.6","21,575.8","21,590.1","20,678.0",2.88K,-3.34%
2022年07月09日,"21,575.8","21,600.0","21,967.0","21,335.5",2.20K,-0.11%
2022年07月08日,"21,600.0","21,620.0","22,405.0","21,198.0",11.60K,-0.09%
2022年07月07日,"21,620.0","20,557.1","21,809.0","20,253.0",5.60K,5.17%
2022年07月06日,"20,557.1","20,169.0","20,665.6","19,765.2",4.32K,1.92%
2022年07月05日,"20,169.0","20,224.0","20,723.0","19,290.0",4.45K,-0.27%
2022年07月04日,"20,224.0","19,308.8","20,318.0","19,056.6",3.55K,4.74%
2022年07月03日,"19,308.8","19,230.0","19,638.0","18,774.0",2.35K,0.41%
2022年07月02日,"19,230.0","19,286.0","19,442.0","18,994.0",1.67K,-0.29%
2022年07月01日,"19,286.0","19,938.0","20,795.0","18,993.0",5.19K,-3.27%
2022年06月30日,"19,938.0","20,106.6","20,146.1","18,643.0",5.75K,-0.84%
2022年06月29日,"20,106.6","20,270.6","20,428.0","19,886.0",3.38K,-0.79%
2022年06月28日,"20,267.0","20,718.0","21,200.0","20,204.0",2.39K,-2.18%
2022年06月27日,"20,718.0","21,067.0","21,509.4","20,551.0",2.79K,-1.66%
2022年06月26日,"21,067.0","21,485.0","21,871.3","21,000.0",2.80K,-1.95%
2022年06月25日,"21,485.0","21,229.0","21,575.0","20,899.4",2.30K,1.21%
2022年06月24日,"21,229.0","21,071.0","21,526.0","20,704.0",5.80K,0.75%
2022年06月23日,"21,071.0","19,943.0","21,163.0","19,866.0",6.14K,5.66%
2022年06月22日,"19,943.0","20,692.9","20,848.0","19,739.0",7.26K,-3.62%
2022年06月21日,"20,692.9","20,549.1","21,670.0","20,341.0",8.18K,0.68%
2022年06月20日,"20,554.1","20,556.0","20,984.0","19,628.0",6.68K,-0.01%
2022年06月19日,"20,556.0","18,978.0","20,744.0","17,950.0",11.68K,8.31%
2022年06月18日,"18,978.0","20,411.0","20,688.0","17,611.0",17.93K,-7.02%
2022年06月17日,"20,411.0","20,394.0","21,347.0","20,254.0",24.02K,0.08%
2022年06月16日,"20,394.0","22,594.0","22,996.0","20,253.0",6.74K,-9.74%
2022年06月15日,"22,594.0","22,172.0","22,805.0","20,089.0",17.56K,1.90%
2022年06月14日,"22,172.0","22,500.0","23,326.0","20,873.0",16.45K,-1.40%
2022年06月13日,"22,487.0","26,670.0","26,922.3","22,017.0",42.72K,-15.68%
2022年06月12日,"26,670.0","28,425.0","28,558.3","26,640.0",8.91K,-6.17%
2022年06月11日,"28,425.0","29,103.0","29,452.0","28,138.0",3.75K,-2.33%
2022年06月10日,"29,103.0","30,112.2","30,367.0","28,864.1",4.85K,-3.35%
2022年06月09日,"30,112.2","30,226.0","30,711.8","29,957.0",2.10K,-0.39%
2022年06月08日,"30,230.0","31,149.0","31,331.0","29,887.0",2.65K,-2.95%
2022年06月07日,"31,149.0","31,371.0","31,577.0","29,231.0",6.42K,-0.71%
2022年06月06日,"31,371.0","29,923.4","31,764.0","29,907.0",4.78K,4.84%
2022年06月05日,"29,923.4","29,877.0","30,196.0","29,541.0",1.72K,0.16%
2022年06月04日,"29,877.0","29,730.0","29,981.0","29,506.0",1.50K,0.49%
2022年06月03日,"29,730.0","30,478.0","30,707.0","29,346.0",3.04K,-2.45%
2022年06月02日,"30,478.0","29,832.0","30,712.0","29,620.0",5.93K,2.17%
