日付け,終値,始値,高値,安値,出来高,変化率 %
2022年07月29日,139.93,140.63,141.10,139.30,247.63K,-0.44%
2022年07月28日,140.55,142.26,142.40,140.41,245.88K,-1.17%
2022年07月27日,142.22,142.24,142.60,141.99,195.48K,0.04%
2022年07月26日,142.17,141.71,142.24,141.28,192.88K,0.37%
2022年07月25日,141.65,141.52,141.82,141.14,200.10K,0.10%
2022年07月22日,141.51,142.09,142.46,141.18,207.33K,-0.39%
2022年07月21日,142.07,142.26,143.15,141.66,228.90K,-0.14%
2022年07月20日,142.27,142.66,142.86,141.93,204.01K,-0.25%
2022年07月19日,142.62,141.26,142.74,141.05,203.37K,0.95%
2022年07月18日,141.28,141.91,142.07,141.18,185.69K,-0.42%
2022年07月15日,141.88,141.23,141.94,140.97,204.40K,0.53%
2022年07月14日,141.13,140.39,141.52,140.16,245.60K,0.56%
2022年07月13日,140.35,139.41,140.73,139.19,222.39K,0.70%
2022年07月12日,139.38,139.80,139.93,138.74,221.16K,-0.26%
2022年07月11日,139.75,139.32,140.39,139.20,205.67K,0.29%
2022年07月08日,139.34,139.67,139.89,138.66,235.61K,-0.19%
2022年07月07日,139.60,140.04,140.40,139.37,227.23K,-0.29%
2022年07月06日,140.00,140.31,140.34,138.84,256.84K,-0.19%
2022年07月05日,140.27,141.19,142.05,139.91,236.47K,-0.62%
2022年07月04日,141.15,141.04,141.57,140.60,186.70K,0.20%
2022年07月01日,140.87,142.10,142.34,140.05,223.92K,-0.85%
2022年06月30日,142.08,142.99,143.30,141.80,256.55K,-0.62%
2022年06月29日,142.97,142.21,143.77,141.88,241.31K,0.56%
2022年06月28日,142.18,141.70,142.77,141.32,235.26K,0.39%
2022年06月27日,141.63,141.23,141.79,140.48,224.03K,0.36%
2022年06月24日,141.12,140.38,141.71,139.83,242.44K,0.56%
2022年06月23日,140.33,141.76,141.78,139.83,269.15K,-0.95%
2022年06月22日,141.68,141.39,141.92,140.61,225.61K,0.22%
2022年06月21日,141.37,139.61,141.49,139.44,220.24K,1.28%
2022年06月20日,139.59,138.88,140.20,138.85,201.92K,0.34%
2022年06月17日,139.12,136.76,140.02,136.70,286.47K,1.76%
2022年06月16日,136.71,134.61,137.24,134.49,286.25K,1.59%
2022年06月15日,134.57,135.27,135.43,134.01,248.39K,-0.50%
2022年06月14日,135.24,134.71,135.95,134.38,239.63K,0.42%
2022年06月13日,134.67,136.18,136.64,134.15,225.73K,-1.07%
2022年06月10日,136.12,137.01,137.16,135.43,197.58K,-0.61%
2022年06月09日,136.96,137.24,137.65,136.19,206.76K,-0.15%
2022年06月08日,137.16,136.26,137.82,136.22,195.63K,0.70%
2022年06月07日,136.20,135.85,136.84,135.76,178.53K,0.29%
2022年06月06日,135.81,135.94,136.20,135.60,147.34K,-0.07%
2022年06月03日,135.91,135.49,136.00,135.35,116.22K,0.35%
2022年06月02日,135.44,135.12,135.65,134.90,147.36K,0.33%
2022年06月01日,134.99,134.13,135.26,134.04,157.46K,0.66%
2022年05月31日,134.10,133.22,134.46,132.79,173.15K,0.69%
2022年05月30日,133.18,132.84,133.35,132.56,121.24K,0.30%
2022年05月27日,132.78,132.51,133.00,132.26,171.79K,0.22%
2022年05月26日,132.49,132.35,132.76,131.84,177.82K,0.11%
2022年05月25日,132.35,132.06,132.49,131.68,193.81K,0.26%
2022年05月24日,132.01,132.38,132.51,131.66,199.75K,-0.26%
2022年05月23日,132.36,131.18,132.62,130.88,172.81K,0.98%
2022年05月20日,131.07,131.31,132.06,130.85,207.26K,-0.18%
2022年05月19日,131.30,129.80,131.67,129.54,230.80K,1.19%
2022年05月18日,129.75,130.20,130.40,129.00,196.17K,-0.35%
2022年05月17日,130.20,128.91,130.63,128.59,184.50K,1.02%
2022年05月16日,128.88,129.02,129.30,128.24,172.39K,-0.03%
2022年05月13日,128.92,127.96,129.24,127.82,212.36K,0.79%
2022年05月12日,127.91,130.71,130.87,127.49,242.09K,-2.11%
2022年05月11日,130.67,130.93,131.86,130.37,221.18K,-0.18%
2022年05月10日,130.90,131.07,131.66,130.41,223.23K,-0.11%
2022年05月09日,131.04,131.99,132.39,130.81,173.35K,-0.73%
2022年05月06日,132.01,132.19,132.74,131.80,197.28K,-0.09%
2022年05月05日,132.13,132.79,133.01,131.84,203.84K,-0.45%
2022年05月04日,132.73,132.91,133.13,131.99,156.42K,-0.13%
2022年05月03日,132.90,133.05,133.63,132.71,156.90K,-0.10%
2022年05月02日,133.03,133.30,134.07,132.93,147.73K,-0.23%
2022年04月29日,133.34,134.60,134.74,133.21,215.73K,-0.92%
2022年04月28日,134.58,132.59,135.06,132.48,225.42K,1.58%
2022年04月27日,132.49,132.18,132.86,131.93,186.13K,0.26%
2022年04月26日,132.14,133.52,133.73,132.12,202.45K,-1.00%
2022年04月25日,133.47,134.33,134.72,133.04,207.83K,-0.60%
2022年04月22日,134.27,134.70,134.91,133.90,191.43K,-0.27%
2022年04月21日,134.63,134.83,135.40,134.42,214.03K,-0.13%
2022年04月20日,134.81,135.45,135.89,134.55,218.53K,-0.44%
2022年04月19日,135.40,134.40,136.21,134.36,182.50K,0.78%
2022年04月18日,134.35,133.82,134.48,133.79,125.06K,0.26%
2022年04月15日,134.00,133.59,134.43,133.54,189.83K,0.32%
2022年04月14日,133.57,134.45,134.63,133.40,174.85K,-0.62%
2022年04月13日,134.41,134.32,135.46,134.29,170.58K,0.10%
2022年04月12日,134.28,134.71,134.92,134.29,156.20K,-0.24%
2022年04月11日,134.60,132.71,134.95,132.65,148.76K,1.23%
2022年04月08日,132.96,132.65,133.29,132.37,136.79K,0.26%
2022年04月07日,132.62,132.68,132.99,132.34,138.97K,0.02%
2022年04月06日,132.60,132.97,133.32,132.49,157.87K,-0.22%
2022年04月05日,132.89,132.55,133.12,132.16,133.48K,0.29%
2022年04月04日,132.51,132.49,132.78,132.15,149.61K,0.15%
2022年04月01日,132.31,131.85,132.91,131.82,179.70K,0.36%
2022年03月31日,131.84,131.96,132.70,131.40,194.80K,-0.05%
2022年03月30日,131.90,131.89,132.38,130.73,197.36K,0.03%
2022年03月29日,131.86,132.65,132.91,131.08,213.33K,-0.59%
2022年03月28日,132.64,131.08,133.57,130.98,177.63K,1.15%
2022年03月25日,131.13,131.52,131.71,130.84,151.35K,-0.27%
2022年03月24日,131.48,130.20,131.60,129.86,136.22K,1.00%
2022年03月23日,130.18,129.54,130.24,129.01,152.47K,0.55%
2022年03月22日,129.47,127.96,129.63,127.86,138.66K,1.20%
2022年03月21日,127.93,127.89,128.25,127.50,103.25K,0.03%
2022年03月18日,127.89,126.57,127.96,126.49,117.24K,1.07%
2022年03月17日,126.54,126.25,126.85,126.02,134.38K,0.25%
2022年03月16日,126.22,125.71,126.32,125.58,147.17K,0.45%
2022年03月15日,125.66,125.89,126.18,125.38,148.89K,-0.17%
2022年03月14日,125.87,125.53,126.49,125.48,131.39K,0.35%
2022年03月11日,125.43,124.86,125.75,124.80,154.64K,0.49%
2022年03月10日,124.82,125.04,125.32,124.68,153.31K,-0.14%
2022年03月09日,124.99,124.50,125.17,124.36,144.05K,0.43%
2022年03月08日,124.46,124.60,125.02,124.26,162.52K,-0.11%
2022年03月07日,124.60,125.25,125.36,124.24,171.62K,-0.46%
2022年03月04日,125.18,125.88,125.93,124.81,167.62K,-0.52%
2022年03月03日,125.84,125.47,125.95,125.35,133.71K,0.33%
2022年03月02日,125.42,125.11,125.68,124.91,158.02K,0.31%
2022年03月01日,125.03,125.44,125.68,124.71,155.71K,-0.30%
2022年02月28日,125.40,124.28,125.68,123.86,169.36K,0.41%
2022年02月25日,124.89,124.75,125.08,124.42,165.72K,0.14%
2022年02月24日,124.71,125.21,125.35,123.97,217.76K,-0.37%
2022年02月23日,125.17,124.89,125.55,124.80,129.07K,0.23%
2022年02月22日,124.88,125.29,125.35,124.72,177.90K,-0.30%
2022年02月21日,125.26,124.69,125.50,124.65,123.71K,0.40%
2022年02月18日,124.76,124.89,125.21,124.68,156.19K,-0.08%
2022年02月17日,124.86,125.11,125.42,124.64,172.77K,-0.18%
2022年02月16日,125.09,124.93,125.40,124.87,152.68K,0.16%
2022年02月15日,124.89,125.00,125.36,124.68,154.92K,-0.02%
2022年02月14日,124.92,124.51,125.04,124.32,170.60K,0.23%
2022年02月11日,124.63,125.38,125.48,124.28,167.87K,-0.57%
2022年02月10日,125.35,124.93,125.61,124.89,168.47K,0.37%
2022年02月09日,124.89,124.94,125.21,124.72,151.85K,-0.02%
2022年02月08日,124.91,124.54,125.11,124.52,161.42K,0.31%
2022年02月07日,124.53,124.48,124.76,124.22,161.61K,0.08%
2022年02月04日,124.43,124.98,125.13,124.37,160.77K,-0.42%
2022年02月03日,124.95,124.60,125.15,124.33,155.10K,0.32%
2022年02月02日,124.55,124.49,124.64,124.18,124.50K,0.08%
2022年02月01日,124.45,124.16,124.58,124.03,134.01K,0.28%
2022年01月31日,124.10,123.83,124.32,123.54,135.14K,0.26%
2022年01月28日,123.78,123.96,124.25,123.67,144.47K,-0.09%
2022年01月27日,123.89,124.07,124.24,123.57,152.64K,-0.11%
2022年01月26日,124.03,124.01,124.38,123.80,139.39K,0.06%
2022年01月25日,123.96,124.68,124.83,123.75,164.78K,-0.55%
2022年01月24日,124.64,124.69,124.88,124.31,171.63K,-0.03%
2022年01月21日,124.68,124.49,125.04,124.00,148.40K,0.19%
2022年01月20日,124.44,124.85,125.20,124.33,151.04K,-0.30%
2022年01月19日,124.82,124.94,125.18,124.68,160.23K,-0.09%
2022年01月18日,124.93,125.43,125.71,124.83,170.50K,-0.34%
2022年01月17日,125.36,124.99,125.49,124.89,116.35K,0.35%
2022年01月14日,124.92,125.32,125.44,124.50,146.45K,-0.29%
2022年01月13日,125.28,125.36,125.69,125.17,128.90K,-0.06%
2022年01月12日,125.35,124.85,125.65,124.75,127.06K,0.43%
2022年01月11日,124.81,124.25,124.99,124.13,123.75K,0.49%
2022年01月10日,124.20,125.67,125.93,124.19,119.41K,-1.21%
2022年01月07日,125.72,125.74,125.92,125.44,107.34K,0.02%
2022年01月06日,125.69,126.64,126.67,125.64,132.87K,-0.70%
2022年01月05日,126.58,126.82,126.88,126.31,109.98K,-0.16%
2022年01月04日,126.78,125.46,127.10,125.42,108.01K,1.08%
2022年01月03日,125.42,126.14,126.44,125.33,76.15K,-0.54%
2021年12月31日,126.10,126.00,126.48,125.83,76.47K,0.13%
2021年12月30日,125.94,125.68,126.07,125.40,83.14K,0.25%
2021年12月29日,125.63,125.15,125.87,124.98,92.41K,0.41%
2021年12月28日,125.12,125.19,125.42,124.92,83.13K,-0.01%
2021年12月27日,125.13,124.51,125.28,124.32,64.66K,0.55%
2021年12月24日,124.44,124.54,124.82,124.22,141.79K,-0.05%
2021年12月23日,124.50,124.04,124.74,123.91,109.95K,0.43%
2021年12月22日,123.97,123.53,124.22,123.37,109.40K,0.41%
2021年12月21日,123.46,123.33,123.60,123.17,129.87K,0.15%
2021年12月20日,123.27,123.01,123.40,122.65,139.62K,0.20%
2021年12月17日,123.02,123.70,123.82,122.94,147.26K,-0.51%
2021年12月16日,123.65,123.28,124.00,123.19,134.60K,0.32%
2021年12月15日,123.25,123.07,123.41,122.81,157.44K,0.19%
2021年12月14日,123.02,123.07,123.58,122.87,153.01K,0.01%
2021年12月13日,123.01,122.97,123.32,122.65,123.71K,-0.05%
2021年12月10日,123.07,122.94,123.24,122.65,141.37K,0.20%
2021年12月09日,122.82,123.50,123.68,122.47,140.48K,-0.51%
2021年12月08日,123.45,122.75,123.63,122.56,155.29K,0.61%
2021年12月07日,122.70,122.56,123.14,122.47,177.96K,0.14%
2021年12月06日,122.53,122.93,123.14,122.35,148.17K,-0.26%
2021年12月03日,122.85,122.97,123.56,122.71,157.52K,-0.08%
2021年12月02日,122.95,122.52,123.11,122.38,181.90K,0.38%
2021年12月01日,122.49,123.17,123.57,122.47,209.04K,-0.49%
2021年11月30日,123.09,122.98,123.40,122.55,213.97K,0.13%
2021年11月29日,122.93,122.67,123.21,122.11,162.92K,0.29%
2021年11月26日,122.58,123.24,123.39,122.45,232.67K,-0.50%
2021年11月25日,123.20,123.51,123.74,123.19,143.66K,-0.21%
2021年11月24日,123.46,123.36,123.65,122.76,157.14K,0.08%
2021年11月23日,123.36,123.16,123.53,123.00,183.78K,0.21%
2021年11月22日,123.10,122.74,123.44,122.61,192.79K,0.28%
2021年11月19日,122.76,123.36,123.54,122.41,161.39K,-0.46%
2021年11月18日,123.33,122.86,123.50,122.74,172.19K,0.40%
2021年11月17日,122.84,123.48,123.57,122.78,168.86K,-0.49%
2021年11月16日,123.45,123.35,123.68,123.00,146.58K,0.11%
2021年11月15日,123.31,123.62,123.99,123.31,116.31K,-0.20%
2021年11月12日,123.56,123.87,123.97,123.36,125.80K,-0.22%
2021年11月11日,123.83,124.08,124.25,123.41,116.04K,-0.21%
2021年11月10日,124.09,123.87,124.53,123.60,149.32K,0.23%
2021年11月09日,123.81,124.03,124.07,123.39,138.58K,-0.13%
2021年11月08日,123.97,124.26,124.55,123.57,119.71K,-0.24%
2021年11月05日,124.27,124.63,124.79,123.93,134.62K,-0.26%
2021年11月04日,124.59,125.03,125.27,124.25,136.25K,-0.31%
2021年11月03日,124.98,124.60,125.18,124.44,125.29K,0.34%
2021年11月02日,124.56,125.39,125.54,124.32,135.33K,-0.63%
2021年11月01日,125.35,124.42,125.49,124.40,114.13K,0.72%
2021年10月29日,124.45,124.54,125.06,124.25,136.26K,-0.04%
2021年10月28日,124.50,123.97,124.57,123.50,146.97K,0.45%
2021年10月27日,123.94,124.03,124.25,123.57,129.93K,-0.02%
2021年10月26日,123.97,123.62,124.25,123.54,106.39K,0.30%
