日付け,終値,始値,高値,安値,出来高,変化率 %
2022年07月29日,39.96,39.63,39.99,39.45,54.05M,-0.47%
2022年07月28日,40.15,40.04,40.21,39.58,37.03M,0.43%
2022年07月27日,39.98,39.57,40.08,39.41,36.91M,1.86%
2022年07月26日,39.25,39.57,39.67,39.18,22.78M,-0.78%
2022年07月25日,39.56,39.49,39.60,39.38,21.65M,0.36%
2022年07月22日,39.42,39.73,39.81,39.24,25.61M,-1.00%
2022年07月21日,39.82,39.50,39.84,39.43,36.19M,1.14%
2022年07月20日,39.37,39.39,39.50,39.19,38.97M,-0.43%
2022年07月19日,39.54,39.35,39.58,39.27,31.52M,1.65%
2022年07月18日,38.90,39.24,39.44,38.84,37.88M,0.70%
2022年07月15日,38.63,38.45,38.67,38.12,44.47M,0.52%
2022年07月14日,38.43,38.37,38.50,38.05,42.07M,-0.90%
2022年07月13日,38.78,38.30,38.99,38.30,39.44M,-0.23%
2022年07月12日,38.87,38.86,39.07,38.68,24.07M,-0.38%
2022年07月11日,39.02,39.18,39.23,38.86,51.44M,-2.67%
2022年07月08日,40.09,39.96,40.26,39.81,20.99M,0.00%
2022年07月07日,40.09,39.84,40.26,39.83,50.58M,2.01%
2022年07月06日,39.30,39.25,39.41,38.96,34.67M,-0.61%
2022年07月05日,39.54,39.03,39.54,38.87,47.18M,-0.78%
2022年07月01日,39.85,39.62,39.86,39.37,44.01M,-0.62%
2022年06月30日,40.10,39.75,40.19,39.51,49.23M,-0.47%
2022年06月29日,40.29,40.36,40.45,40.15,32.02M,-0.40%
2022年06月28日,40.45,41.03,41.19,40.42,30.71M,-0.61%
2022年06月27日,40.70,40.92,40.94,40.63,25.25M,0.12%
2022年06月24日,40.65,40.17,40.68,40.10,41.18M,2.37%
2022年06月23日,39.71,39.71,39.92,39.36,43.76M,0.30%
2022年06月22日,39.59,39.48,39.85,39.41,40.06M,-1.79%
2022年06月21日,40.31,40.24,40.47,40.18,35.15M,1.61%
2022年06月17日,39.67,39.95,40.05,39.42,63.65M,0.38%
2022年06月16日,39.52,39.55,39.72,39.26,64.72M,-3.07%
