日付け,終値,始値,高値,安値,出来高,変化率 %
2022年07月29日,136.09,136.93,137.34,135.52,256.26K,-0.56%
2022年07月28日,136.85,139.27,139.40,136.33,278.83K,-1.77%
2022年07月27日,139.31,138.52,139.54,138.42,204.77K,0.61%
2022年07月26日,138.47,139.73,139.87,138.12,209.91K,-0.86%
2022年07月25日,139.67,138.95,140.09,138.71,215.64K,0.52%
2022年07月22日,138.95,140.54,140.71,138.76,209.42K,-1.10%
2022年07月21日,140.50,140.68,142.35,140.14,260.95K,-0.11%
2022年07月20日,140.65,141.32,141.95,140.41,228.77K,-0.45%
2022年07月19日,141.28,140.10,141.48,139.68,214.74K,0.85%
2022年07月18日,140.09,139.73,140.83,139.37,193.49K,0.25%
2022年07月15日,139.74,139.21,139.90,138.71,214.94K,0.45%
2022年07月14日,139.12,138.27,139.79,137.97,258.56K,0.64%
2022年07月13日,138.24,137.40,138.84,137.11,230.93K,0.63%
2022年07月12日,137.38,137.99,138.10,137.00,236.41K,-0.42%
2022年07月11日,137.96,138.46,139.18,137.87,216.02K,-0.44%
2022年07月08日,138.57,138.21,138.74,136.85,254.66K,0.31%
2022年07月07日,138.14,138.43,139.09,137.97,243.37K,-0.17%
2022年07月06日,138.37,139.52,139.55,137.23,274.31K,-0.80%
2022年07月05日,139.48,141.39,142.40,138.93,252.02K,-1.36%
2022年07月04日,141.40,141.13,141.69,140.60,196.88K,0.30%
2022年07月01日,140.98,142.27,142.46,139.78,218.90K,-0.91%
2022年06月30日,142.27,142.62,142.88,141.37,267.81K,-0.22%
2022年06月29日,142.58,143.19,143.90,142.46,263.08K,-0.41%
2022年06月28日,143.17,143.37,144.29,142.85,260.30K,-0.11%
2022年06月27日,143.33,142.68,143.51,142.04,242.18K,0.44%
2022年06月24日,142.70,142.04,142.80,141.40,261.12K,0.49%
2022年06月23日,142.00,144.00,144.01,141.38,306.72K,-1.36%
2022年06月22日,143.96,143.82,144.28,142.66,239.53K,0.13%
2022年06月21日,143.78,141.99,144.01,141.90,237.59K,1.28%
2022年06月20日,141.96,141.35,142.38,141.32,213.88K,0.20%
2022年06月17日,141.68,139.49,141.99,139.43,292.37K,1.61%
2022年06月16日,139.44,139.79,140.63,137.84,339.59K,-0.22%
2022年06月15日,139.75,141.13,141.51,139.51,271.26K,-0.95%
2022年06月14日,141.09,139.90,141.15,139.46,251.35K,0.89%
2022年06月13日,139.85,141.34,141.78,139.38,231.31K,-1.05%
2022年06月10日,141.34,142.63,142.82,140.79,210.21K,-0.87%
2022年06月09日,142.58,143.89,144.21,142.33,229.71K,-0.86%
2022年06月08日,143.82,141.88,144.27,141.84,200.22K,1.39%
2022年06月07日,141.85,141.04,142.09,140.99,187.68K,0.59%
2022年06月06日,141.02,140.28,141.15,139.82,168.77K,0.54%
2022年06月03日,140.26,139.52,140.39,139.45,119.73K,0.54%
2022年06月02日,139.50,138.54,139.63,138.38,162.59K,0.70%
2022年06月01日,138.53,138.14,139.01,138.08,174.46K,0.30%
2022年05月31日,138.11,137.49,138.26,136.78,202.51K,0.47%
