日付け,終値,始値,高値,安値,出来高,変化率 %
2022年07月29日,1.2166,1.2173,1.2247,1.2062,130.22K,-0.02%
2022年07月28日,1.2169,1.2148,1.2193,1.2102,147.99K,0.15%
2022年07月27日,1.2151,1.2030,1.2188,1.2019,116.19K,1.05%
2022年07月26日,1.2025,1.2043,1.2092,1.1963,123.95K,-0.14%
2022年07月25日,1.2042,1.2004,1.2087,1.1959,127.09K,0.33%
2022年07月22日,1.2002,1.1995,1.2065,1.1916,115.37K,0.08%
2022年07月21日,1.1993,1.1967,1.2005,1.1889,139.13K,0.20%
2022年07月20日,1.1969,1.1990,1.2039,1.1953,134.63K,-0.22%
2022年07月19日,1.1995,1.1954,1.2047,1.1924,121.65K,0.34%
2022年07月18日,1.1954,1.1877,1.2035,1.1861,116.17K,0.86%
2022年07月15日,1.1852,1.1823,1.1876,1.1804,130.06K,0.25%
2022年07月14日,1.1822,1.1891,1.1897,1.1759,143.91K,-0.56%
2022年07月13日,1.1889,1.1887,1.1968,1.1826,137.09K,0.03%
2022年07月12日,1.1885,1.1886,1.1918,1.1806,133.90K,-0.03%
2022年07月11日,1.1889,1.2029,1.2041,1.1865,123.85K,-1.15%
2022年07月08日,1.2027,1.2025,1.2057,1.1918,149.01K,0.05%
2022年07月07日,1.2021,1.1924,1.2031,1.1908,149.14K,0.76%
2022年07月06日,1.1930,1.1959,1.1991,1.1875,158.82K,-0.23%
2022年07月05日,1.1957,1.2108,1.2127,1.1898,147.84K,-1.22%
2022年07月04日,1.2105,1.2105,1.2167,1.2083,113.56K,0.09%
2022年07月01日,1.2094,1.2177,1.2183,1.1975,114.76K,-0.67%
2022年06月30日,1.2175,1.2127,1.2190,1.2091,128.65K,0.41%
2022年06月29日,1.2125,1.2183,1.2214,1.2105,140.73K,-0.47%
2022年06月28日,1.2182,1.2265,1.2292,1.2179,150.50K,-0.67%
2022年06月27日,1.2264,1.2264,1.2334,1.2237,125.82K,0.02%
2022年06月24日,1.2262,1.2260,1.2321,1.2240,114.14K,0.02%
2022年06月23日,1.2260,1.2269,1.2296,1.2169,157.82K,-0.05%
2022年06月22日,1.2266,1.2276,1.2316,1.2161,118.98K,-0.05%
2022年06月21日,1.2272,1.2257,1.2326,1.2241,110.09K,0.18%
2022年06月20日,1.2250,1.2225,1.2282,1.2198,108.97K,0.21%
2022年06月17日,1.2224,1.2354,1.2371,1.2172,162.22K,-1.03%
2022年06月16日,1.2351,1.2185,1.2408,1.2040,176.77K,1.42%
2022年06月15日,1.2178,1.1995,1.2206,1.1985,141.57K,1.54%
2022年06月14日,1.1993,1.2130,1.2208,1.1933,138.34K,-1.16%
2022年06月13日,1.2134,1.2327,1.2328,1.2106,115.70K,-1.46%
2022年06月10日,1.2314,1.2495,1.2519,1.2300,111.64K,-1.41%
2022年06月09日,1.2490,1.2541,1.2559,1.2486,103.46K,-0.39%
2022年06月08日,1.2539,1.2593,1.2599,1.2512,103.49K,-0.39%
2022年06月07日,1.2588,1.2532,1.2601,1.2429,109.12K,0.46%
2022年06月06日,1.2530,1.2495,1.2579,1.2476,99.49K,0.36%
2022年06月03日,1.2485,1.2579,1.2591,1.2484,70.95K,-0.72%
2022年06月02日,1.2576,1.2485,1.2588,1.2468,82.72K,0.75%
2022年06月01日,1.2482,1.2604,1.2618,1.2458,99.79K,-0.94%
2022年05月31日,1.2600,1.2654,1.2657,1.2559,113.26K,-0.40%
2022年05月30日,1.2650,1.2617,1.2661,1.2613,84.78K,0.27%
2022年05月27日,1.2616,1.2599,1.2667,1.2585,107.19K,0.17%
2022年05月26日,1.2594,1.2566,1.2622,1.2550,119.11K,0.24%
2022年05月25日,1.2564,1.2531,1.2592,1.2480,136.05K,0.28%
2022年05月24日,1.2529,1.2589,1.2600,1.2471,123.59K,-0.47%
2022年05月23日,1.2588,1.2479,1.2602,1.2476,107.58K,0.81%
2022年05月20日,1.2487,1.2464,1.2501,1.2437,119.18K,0.22%
2022年05月19日,1.2460,1.2338,1.2526,1.2336,136.46K,0.99%
2022年05月18日,1.2338,1.2493,1.2502,1.2329,122.68K,-1.22%
2022年05月17日,1.2490,1.2317,1.2500,1.2316,126.58K,1.40%
2022年05月16日,1.2317,1.2236,1.2331,1.2217,119.22K,0.46%
2022年05月13日,1.2261,1.2200,1.2267,1.2155,121.39K,0.51%
2022年05月12日,1.2199,1.2261,1.2262,1.2165,155.65K,-0.42%
2022年05月11日,1.2250,1.2325,1.2401,1.2236,131.09K,-0.58%
