日付け,終値,始値,高値,安値,出来高,変化率 %
2022年07月29日,164.10,163.89,164.69,163.28,7.54M,0.28%
2022年07月28日,163.64,163.31,163.76,162.88,5.43M,1.22%
2022年07月27日,161.67,160.02,162.21,159.51,5.61M,1.02%
2022年07月26日,160.04,160.23,160.50,159.79,2.58M,-0.12%
2022年07月25日,160.23,160.64,160.70,159.81,3.48M,-0.27%
2022年07月22日,160.67,160.55,162.13,160.35,5.73M,0.25%
2022年07月21日,160.27,158.31,160.31,158.27,5.74M,1.41%
2022年07月20日,158.04,159.71,159.82,158.02,4.79M,-0.94%
2022年07月19日,159.54,159.47,159.87,159.33,3.70M,0.24%
2022年07月18日,159.16,160.08,160.43,159.05,5.45M,0.09%
2022年07月15日,159.01,159.01,159.25,158.35,6.78M,-0.20%
2022年07月14日,159.33,159.02,159.83,158.22,11.91M,-1.40%
2022年07月13日,161.60,160.10,162.71,160.06,8.44M,0.48%
2022年07月12日,160.83,161.22,161.62,160.72,5.13M,-0.37%
2022年07月11日,161.43,161.93,162.43,161.38,4.03M,-0.54%
2022年07月08日,162.30,162.35,163.38,161.84,4.58M,0.04%
2022年07月07日,162.23,162.43,163.04,162.06,4.58M,0.06%
2022年07月06日,162.14,164.32,164.57,161.47,11.78M,-1.58%
2022年07月05日,164.75,167.18,167.33,164.41,13.83M,-2.12%
2022年07月01日,168.32,167.13,168.68,166.96,11.38M,-0.08%
2022年06月30日,168.46,169.51,169.96,168.24,9.13M,-0.61%
2022年06月29日,169.49,170.58,170.70,169.17,4.67M,-0.08%
2022年06月28日,169.62,170.07,170.21,169.51,2.96M,-0.16%
2022年06月27日,169.90,170.60,170.67,169.75,5.69M,-0.11%
2022年06月24日,170.09,170.24,170.74,169.85,6.14M,-0.10%
2022年06月23日,170.26,171.39,172.13,169.90,6.51M,-0.61%
2022年06月22日,171.31,171.61,172.30,171.10,6.51M,0.40%
2022年06月21日,170.63,171.06,171.91,170.47,5.26M,-0.37%
2022年06月17日,171.27,172.15,172.30,170.97,7.41M,-0.82%
2022年06月16日,172.69,170.56,172.77,170.17,8.77M,1.12%
2022年06月15日,170.77,170.40,171.84,169.08,8.99M,1.31%
2022年06月14日,168.57,169.61,169.73,168.30,7.31M,-0.80%
2022年06月13日,169.93,171.18,171.34,169.61,13.25M,-2.64%
2022年06月10日,174.54,170.89,174.94,170.46,16.86M,1.34%
2022年06月09日,172.23,172.45,172.59,171.58,4.69M,-0.32%
2022年06月08日,172.78,172.89,173.45,172.67,5.14M,-0.09%
2022年06月07日,172.94,172.11,173.05,171.99,3.85M,0.65%
2022年06月06日,171.82,172.81,172.89,171.65,3.77M,-0.44%
2022年06月03日,172.58,173.53,173.96,172.25,5.52M,-1.02%
2022年06月02日,174.35,173.66,174.45,173.49,5.60M,1.23%
2022年06月01日,172.23,172.21,172.53,171.39,6.94M,0.64%
2022年05月31日,171.14,172.71,173.07,171.08,6.24M,-0.99%
2022年05月27日,172.85,173.49,173.52,172.64,3.85M,0.05%
2022年05月26日,172.76,172.13,172.93,171.76,6.47M,-0.18%
2022年05月25日,173.08,172.79,173.16,171.73,4.59M,-0.60%
2022年05月24日,174.13,173.47,174.41,173.35,6.75M,0.75%
2022年05月23日,172.83,173.13,173.38,172.28,5.22M,0.47%
2022年05月20日,172.03,171.71,172.24,170.89,6.58M,0.07%
2022年05月19日,171.91,171.55,172.52,170.89,10.58M,1.47%
2022年05月18日,169.42,169.01,170.21,168.81,7.45M,0.05%
2022年05月17日,169.33,170.44,170.53,169.14,6.26M,-0.63%
2022年05月16日,170.40,168.43,170.43,168.34,7.05M,0.95%
2022年05月13日,168.79,168.31,169.62,168.01,12.81M,-0.81%
2022年05月12日,170.17,172.07,172.40,169.90,11.56M,-1.53%
2022年05月11日,172.82,172.51,173.32,172.20,9.16M,0.82%
2022年05月10日,171.42,173.80,173.96,171.20,11.00M,-0.84%
2022年05月09日,172.88,174.27,174.27,172.79,10.74M,-1.45%
2022年05月06日,175.42,175.39,176.56,174.86,7.64M,0.17%
2022年05月05日,175.13,177.56,177.61,174.66,12.79M,-0.38%
2022年05月04日,175.80,174.32,176.35,173.67,10.49M,0.98%
2022年05月03日,174.09,173.89,175.21,173.85,7.21M,0.26%
2022年05月02日,173.63,173.61,174.65,172.98,14.32M,-1.85%
2022年04月29日,176.91,178.07,178.60,176.72,7.72M,-0.01%
2022年04月28日,176.93,175.92,176.96,175.69,6.38M,0.54%
2022年04月27日,175.98,176.46,176.64,175.50,8.85M,-0.76%
2022年04月26日,177.32,177.95,178.30,176.91,9.04M,0.15%
2022年04月25日,177.05,177.15,177.51,176.49,12.95M,-1.80%
2022年04月22日,180.29,180.72,181.60,179.74,9.15M,-0.97%
2022年04月21日,182.06,181.77,182.32,180.77,9.61M,-0.36%
2022年04月20日,182.71,181.59,182.72,181.35,6.88M,0.49%
2022年04月19日,181.82,183.19,183.65,181.33,12.38M,-1.51%
2022年04月18日,184.61,185.95,186.10,184.39,8.84M,0.31%
2022年04月14日,184.04,184.28,184.41,182.88,11.57M,-0.33%
2022年04月13日,184.65,184.50,184.94,184.13,8.63M,0.48%
2022年04月12日,183.77,184.04,184.64,182.96,11.97M,0.77%
2022年04月11日,182.37,183.17,183.33,181.11,10.02M,0.50%
2022年04月08日,181.47,180.52,181.82,180.52,10.66M,0.63%
2022年04月07日,180.34,179.87,180.88,179.80,10.12M,0.38%
2022年04月06日,179.66,179.78,180.31,178.70,8.94M,0.23%
2022年04月05日,179.24,180.91,181.49,178.93,10.79M,-0.63%
2022年04月04日,180.37,180.24,180.81,179.58,7.01M,0.48%
2022年04月01日,179.50,179.55,180.46,178.98,13.03M,-0.64%
2022年03月31日,180.65,180.91,181.96,180.56,9.68M,0.04%
2022年03月30日,180.58,179.76,180.92,179.68,8.26M,0.80%
2022年03月29日,179.14,177.02,179.33,176.69,10.16M,0.04%
2022年03月28日,179.06,180.38,181.32,178.85,9.33M,-1.82%
2022年03月25日,182.38,181.81,183.13,181.35,7.91M,-0.41%
2022年03月24日,183.13,182.35,183.51,181.77,10.51M,0.73%
2022年03月23日,181.81,180.29,181.89,179.76,12.53M,1.37%
2022年03月22日,179.36,179.60,179.71,178.32,9.62M,-0.73%
2022年03月21日,180.67,179.33,181.29,179.32,10.58M,0.76%
2022年03月18日,179.30,179.93,180.93,179.04,14.00M,-0.88%
2022年03月17日,180.89,181.16,182.03,180.65,10.89M,0.49%
2022年03月16日,180.01,179.13,180.12,176.87,17.38M,0.63%
2022年03月15日,178.89,179.10,180.27,178.01,16.94M,-1.87%
2022年03月14日,182.30,183.03,183.29,181.95,13.19M,-1.51%
2022年03月11日,185.09,183.74,185.78,183.44,14.82M,-0.70%
2022年03月10日,186.40,186.88,187.38,184.99,17.55M,0.31%
2022年03月09日,185.82,186.04,187.23,184.76,26.80M,-2.97%
2022年03月08日,191.51,188.35,193.30,188.26,47.26M,2.74%
2022年03月07日,186.41,184.45,186.64,184.22,26.97M,1.49%
2022年03月04日,183.68,182.11,183.98,181.36,22.41M,1.59%
2022年03月03日,180.80,179.96,181.30,179.50,15.16M,0.60%
2022年03月02日,179.73,180.13,180.71,178.79,19.62M,-1.04%
2022年03月01日,181.62,179.05,181.76,179.03,21.67M,1.82%
2022年02月28日,178.38,178.86,178.99,176.50,15.98M,1.04%
2022年02月25日,176.55,176.42,176.79,175.79,11.53M,-0.33%
2022年02月24日,177.14,182.59,182.60,175.27,32.37M,-0.65%
2022年02月23日,178.29,177.39,178.39,177.36,11.67M,0.45%
2022年02月22日,177.49,177.67,178.07,176.82,14.81M,0.21%
2022年02月18日,177.12,177.07,177.25,176.51,12.76M,-0.07%
2022年02月17日,177.25,176.70,177.53,176.39,18.56M,1.37%
2022年02月16日,174.86,173.49,174.86,173.48,12.70M,1.03%
2022年02月15日,173.08,173.10,173.34,172.39,12.39M,-0.95%
2022年02月14日,174.74,173.78,175.00,173.68,13.38M,0.54%
2022年02月11日,173.81,170.75,174.20,170.71,25.74M,1.91%
2022年02月10日,170.56,170.52,171.99,170.46,10.51M,-0.38%
2022年02月09日,171.21,170.68,171.42,170.55,7.77M,0.34%
2022年02月08日,170.63,170.10,170.78,169.95,5.80M,0.31%
2022年02月07日,170.11,169.45,170.30,169.19,7.76M,0.74%
2022年02月04日,168.86,168.04,169.10,167.99,9.62M,0.15%
2022年02月03日,168.60,168.31,168.82,167.03,10.61M,-0.14%
2022年02月02日,168.84,168.34,169.12,168.15,8.95M,0.36%
2022年02月01日,168.23,168.57,168.85,167.87,9.73M,0.08%
2022年01月31日,168.09,167.79,168.14,167.46,8.33M,0.59%
2022年01月28日,167.10,166.56,167.46,166.37,9.78M,-0.30%
2022年01月27日,167.60,168.02,169.09,167.32,15.58M,-1.29%
2022年01月26日,169.79,171.39,171.73,169.48,17.63M,-1.62%
2022年01月25日,172.58,171.95,173.15,171.77,16.94M,0.32%
2022年01月24日,172.03,171.78,172.14,170.85,14.99M,0.55%
2022年01月21日,171.09,172.04,172.12,170.74,10.98M,-0.33%
2022年01月20日,171.65,172.31,172.60,171.59,9.49M,-0.25%
2022年01月19日,172.08,170.39,172.19,170.20,15.73M,1.59%
2022年01月18日,169.39,169.64,170.01,169.09,9.10M,-0.17%
2022年01月14日,169.67,170.22,170.56,169.48,7.87M,-0.29%
2022年01月13日,170.16,170.09,170.22,169.27,6.65M,-0.34%
2022年01月12日,170.74,170.19,170.75,170.01,6.18M,0.26%
2022年01月11日,170.29,168.44,170.31,168.37,8.32M,1.21%
2022年01月10日,168.26,167.36,168.30,167.31,6.84M,0.30%
2022年01月07日,167.75,167.37,168.01,166.86,8.19M,0.46%
2022年01月06日,166.99,167.16,167.75,166.86,10.50M,-1.22%
2022年01月05日,169.06,170.62,170.93,168.90,8.58M,-0.30%
2022年01月04日,169.57,168.90,169.72,168.73,6.93M,0.74%
2022年01月03日,168.33,168.86,169.01,168.00,8.91M,-1.54%
2021年12月31日,170.96,170.53,171.04,170.04,7.04M,0.68%
2021年12月30日,169.80,168.43,169.81,168.37,5.42M,0.72%
2021年12月29日,168.59,167.36,168.69,167.28,5.88M,-0.03%
2021年12月28日,168.64,169.33,169.65,168.62,4.47M,-0.43%
2021年12月27日,169.37,168.96,169.42,168.78,4.48M,0.24%
2021年12月23日,168.97,168.69,169.16,168.01,4.55M,0.23%
2021年12月22日,168.59,167.58,168.64,167.11,4.63M,0.94%
2021年12月21日,167.02,167.69,167.78,166.74,4.45M,-0.04%
2021年12月20日,167.09,167.88,168.00,167.06,6.87M,-0.42%
2021年12月17日,167.80,168.73,169.13,167.78,9.87M,-0.21%
2021年12月16日,168.16,167.01,168.18,166.94,11.04M,1.21%
2021年12月15日,166.15,165.27,166.40,163.80,14.21M,0.43%
2021年12月14日,165.44,165.34,166.14,165.16,8.58M,-0.93%
2021年12月13日,167.00,166.90,167.26,166.67,6.46M,0.25%
2021年12月10日,166.58,166.72,166.91,166.18,6.45M,0.42%
2021年12月09日,165.88,166.54,166.58,165.65,4.91M,-0.61%
2021年12月08日,166.90,166.51,166.96,166.28,4.25M,0.05%
2021年12月07日,166.81,166.20,167.08,166.18,4.59M,0.35%
2021年12月06日,166.22,166.14,166.80,165.93,4.81M,-0.25%
2021年12月03日,166.63,165.49,166.93,165.00,9.51M,0.84%
