日付け,終値,始値,高値,安値,出来高,変化率 %
2022年07月29日,174.52,173.79,174.85,172.91,6.45M,0.18%
2022年07月28日,174.20,173.40,176.09,171.44,5.51M,0.58%
2022年07月27日,173.20,172.63,174.10,171.13,4.65M,-0.28%
2022年07月26日,173.68,172.56,174.98,172.49,4.53M,0.71%
2022年07月25日,172.46,172.12,172.98,171.72,4.44M,0.20%
2022年07月22日,172.12,171.60,172.49,171.06,4.26M,0.47%
2022年07月21日,171.31,170.05,171.39,169.77,5.73M,0.35%
2022年07月20日,170.71,172.20,172.55,169.76,7.46M,-0.57%
2022年07月19日,171.69,176.33,176.75,169.88,13.26M,-1.46%
2022年07月18日,174.23,177.74,178.19,173.91,7.61M,-2.24%
2022年07月15日,178.23,177.71,178.51,176.55,5.69M,1.45%
2022年07月14日,175.68,172.53,176.01,172.30,5.36M,0.14%
2022年07月13日,175.44,175.66,176.33,174.50,5.29M,-0.23%
2022年07月12日,175.85,177.98,178.45,175.20,4.71M,-1.40%
2022年07月11日,178.35,177.70,179.02,177.52,3.65M,0.04%
2022年07月08日,178.28,178.33,179.99,177.77,3.83M,-0.12%
2022年07月07日,178.50,177.86,179.12,177.51,5.73M,0.11%
2022年07月06日,178.30,178.07,179.44,177.41,5.34M,0.09%
2022年07月05日,178.14,178.83,179.13,174.61,5.68M,-0.77%
2022年07月01日,179.52,177.45,179.72,176.69,5.50M,1.13%
2022年06月30日,177.51,176.86,178.29,175.03,10.78M,0.29%
2022年06月29日,176.99,177.22,178.30,176.43,7.10M,0.03%
2022年06月28日,176.94,182.17,182.97,176.31,9.28M,-2.84%
2022年06月27日,182.12,181.64,183.35,181.50,5.91M,-0.09%
2022年06月24日,182.29,180.78,182.53,179.98,9.37M,1.46%
2022年06月23日,179.66,177.00,179.82,176.52,10.22M,2.23%
2022年06月22日,175.74,172.00,177.92,171.69,10.59M,1.58%
2022年06月21日,173.01,170.75,173.86,169.56,8.22M,2.09%
2022年06月17日,169.46,170.63,172.20,169.24,12.49M,-0.36%
2022年06月16日,170.08,168.40,170.21,167.41,7.06M,0.05%
2022年06月15日,169.99,169.64,171.44,168.64,7.80M,1.07%
2022年06月14日,168.19,171.06,171.11,167.26,7.12M,-1.53%
2022年06月13日,170.81,170.08,172.25,170.08,8.00M,-1.01%
2022年06月10日,172.55,172.17,173.97,170.62,6.65M,-0.67%
2022年06月09日,173.71,177.21,178.65,173.64,5.51M,-2.01%
2022年06月08日,177.28,178.10,179.45,176.80,4.33M,-0.59%
2022年06月07日,178.34,176.98,179.30,176.40,5.45M,1.10%
2022年06月06日,176.40,177.21,178.50,175.99,5.39M,-0.01%
2022年06月03日,176.42,177.07,178.67,176.15,4.23M,-0.41%
2022年06月02日,177.15,177.74,177.81,174.59,8.67M,-0.32%
2022年06月01日,177.71,179.15,179.83,175.90,5.18M,-1.01%
2022年05月31日,179.53,178.00,180.17,175.01,16.39M,-0.86%
2022年05月27日,181.09,179.76,181.16,178.23,5.85M,0.91%
2022年05月26日,179.46,181.00,181.00,178.60,6.90M,-0.09%
2022年05月25日,179.62,180.53,181.55,179.06,6.56M,-0.98%
2022年05月24日,181.40,179.25,181.74,179.10,6.42M,1.09%
2022年05月23日,179.44,177.60,179.93,177.46,7.04M,1.39%
2022年05月20日,176.98,174.85,177.16,174.05,7.52M,1.75%
2022年05月19日,173.94,174.72,174.80,172.69,6.87M,-0.89%
2022年05月18日,175.50,178.84,179.37,175.17,8.61M,-1.86%
2022年05月17日,178.82,178.72,179.70,176.59,5.75M,0.42%
2022年05月16日,178.08,176.85,179.13,176.17,5.52M,0.70%
2022年05月13日,176.85,178.70,178.89,175.80,7.73M,-0.57%
2022年05月12日,177.87,176.47,177.95,174.71,6.90M,0.99%
2022年05月11日,176.13,175.96,178.32,175.88,6.14M,-0.54%
2022年05月10日,177.09,178.23,179.18,176.50,8.19M,-0.14%
2022年05月09日,177.33,175.45,178.56,174.59,7.86M,0.54%
2022年05月06日,176.37,175.14,176.87,174.69,6.43M,-0.22%
