日付け,終値,始値,高値,安値,出来高,変化率 %
2022年07月29日,115.36,115.59,116.50,114.79,12.94M,0.48%
2022年07月28日,114.81,115.25,115.98,113.53,10.38M,-0.37%
2022年07月27日,115.24,114.01,115.74,113.30,9.27M,1.60%
2022年07月26日,113.42,114.58,115.58,113.03,10.68M,-1.56%
2022年07月25日,115.22,115.84,116.46,114.77,9.39M,0.40%
2022年07月22日,114.76,115.24,116.25,113.67,7.65M,-0.49%
2022年07月21日,115.32,114.44,115.53,113.37,11.60M,0.68%
2022年07月20日,114.54,114.10,114.74,113.48,11.67M,-0.02%
2022年07月19日,114.56,113.13,114.93,112.67,11.86M,2.48%
2022年07月18日,111.79,114.77,115.84,111.29,13.98M,-1.03%
2022年07月15日,112.95,109.16,113.88,107.67,18.86M,4.58%
2022年07月14日,108.00,107.99,108.23,106.06,26.20M,-3.49%
2022年07月13日,111.91,111.75,112.48,110.38,12.98M,-0.94%
2022年07月12日,112.97,112.58,115.18,112.26,11.25M,0.10%
2022年07月11日,112.86,113.55,114.23,112.21,7.94M,-1.31%
2022年07月08日,114.36,115.16,115.65,113.61,8.81M,-0.31%
2022年07月07日,114.72,113.50,114.90,113.40,10.35M,2.53%
2022年07月06日,111.89,111.73,112.99,110.79,10.66M,-0.65%
2022年07月05日,112.62,110.77,112.71,109.30,12.52M,-1.25%
2022年07月01日,114.05,112.65,114.42,111.16,10.57M,1.28%
2022年06月30日,112.61,113.17,114.07,110.93,15.17M,-2.33%
2022年06月29日,115.30,116.00,116.82,114.73,9.34M,-0.45%
2022年06月28日,115.82,117.67,119.29,115.60,11.62M,-0.48%
2022年06月27日,116.38,118.06,118.50,115.64,11.28M,-0.80%
2022年06月24日,117.32,113.23,117.82,112.83,14.84M,2.98%
2022年06月23日,113.92,115.01,115.18,111.48,11.85M,-1.09%
2022年06月22日,115.18,114.88,116.20,114.39,9.85M,-0.56%
2022年06月21日,115.83,115.86,117.03,115.04,11.68M,2.48%
2022年06月17日,113.03,113.54,114.63,112.16,30.92M,-0.35%
2022年06月16日,113.43,113.86,114.26,111.87,16.72M,-1.72%
2022年06月15日,115.41,115.62,116.95,113.17,14.08M,1.18%
2022年06月14日,114.06,115.55,117.32,113.22,13.36M,-1.66%
2022年06月13日,115.99,116.86,117.95,115.06,16.81M,-2.98%
2022年06月10日,119.55,122.59,123.40,119.32,12.95M,-4.60%
2022年06月09日,125.31,127.37,128.10,125.27,13.57M,-2.10%
2022年06月08日,128.00,129.00,129.45,126.90,8.42M,-1.59%
2022年06月07日,130.07,128.83,130.32,128.62,6.72M,0.26%
2022年06月06日,129.73,131.09,132.39,129.46,11.32M,-0.33%
2022年06月03日,130.16,131.21,131.77,129.99,8.60M,-1.39%
2022年06月02日,132.00,129.90,132.01,128.67,8.37M,1.61%
2022年06月01日,129.91,132.87,132.87,128.67,10.77M,-1.75%
2022年05月31日,132.23,130.18,133.15,129.71,17.02M,0.73%
2022年05月27日,131.27,130.16,131.27,129.14,11.18M,1.41%
2022年05月26日,129.44,128.37,130.19,128.21,15.99M,1.73%
2022年05月25日,127.24,126.28,127.86,125.17,12.78M,0.70%
2022年05月24日,126.36,124.36,127.49,123.11,19.32M,1.41%
2022年05月23日,124.60,120.46,126.57,120.45,24.38M,6.19%
2022年05月20日,117.34,119.46,119.67,115.02,13.15M,-0.82%
2022年05月19日,118.31,118.19,119.65,117.63,12.77M,-1.48%
2022年05月18日,120.09,121.30,121.97,119.53,12.66M,-1.71%
2022年05月17日,122.18,121.04,122.97,120.81,11.16M,3.31%
2022年05月16日,118.26,118.54,119.46,117.23,10.27M,-0.70%
2022年05月13日,119.09,119.41,120.25,117.96,10.44M,0.89%
2022年05月12日,118.04,117.00,118.32,115.37,16.32M,-0.08%
2022年05月11日,118.14,119.30,122.89,117.94,14.63M,-0.63%
2022年05月10日,118.89,123.11,123.78,117.56,16.38M,-2.44%
2022年05月09日,121.86,122.11,123.33,120.50,14.31M,-1.50%
2022年05月06日,123.72,123.80,124.29,121.18,14.42M,-0.16%
2022年05月05日,123.92,125.25,126.10,122.16,15.06M,-2.50%
2022年05月04日,127.10,122.80,127.40,122.74,17.13M,3.31%
2022年05月03日,123.03,121.53,124.17,120.78,15.72M,2.14%
2022年05月02日,120.45,119.88,120.71,118.22,18.54M,0.91%
2022年04月29日,119.36,123.05,123.61,118.90,14.87M,-3.23%
2022年04月28日,123.34,122.81,123.65,121.14,13.02M,1.58%
2022年04月27日,121.42,122.33,123.56,121.22,17.22M,-1.30%
2022年04月26日,123.02,124.64,126.41,122.87,17.21M,-2.96%
2022年04月25日,126.77,126.01,127.11,123.11,17.15M,-0.03%
2022年04月22日,126.81,130.28,130.52,126.69,14.32M,-2.87%
2022年04月21日,130.56,132.22,132.81,129.96,12.17M,-0.78%
2022年04月20日,131.58,132.52,133.51,131.34,13.43M,0.35%
2022年04月19日,131.12,128.45,131.32,128.23,15.02M,2.07%
2022年04月18日,128.46,125.67,129.24,125.54,11.83M,1.86%
2022年04月14日,126.12,126.50,128.30,125.02,18.84M,-0.93%
2022年04月13日,127.30,126.94,129.25,126.01,30.84M,-3.22%
2022年04月12日,131.54,132.14,134.58,130.70,12.99M,-1.10%
2022年04月11日,133.00,133.00,134.90,132.57,10.47M,-0.37%
2022年04月08日,133.49,131.67,133.90,131.49,13.13M,1.83%
2022年04月07日,131.09,130.95,131.92,128.73,12.99M,-0.30%
2022年04月06日,131.49,131.58,132.56,130.96,12.91M,-1.39%
2022年04月05日,133.34,134.07,135.40,133.01,12.11M,-1.89%
2022年04月04日,135.91,134.12,136.94,132.89,17.42M,0.44%
2022年04月01日,135.31,137.40,137.41,133.80,15.72M,-0.74%
2022年03月31日,136.32,139.83,140.35,136.26,17.35M,-3.00%
2022年03月30日,140.54,141.90,142.12,139.91,8.77M,-0.45%
2022年03月29日,141.18,143.35,143.60,140.24,11.32M,0.22%
2022年03月28日,140.87,140.00,140.97,137.90,10.82M,-0.74%
2022年03月25日,141.92,141.09,143.18,140.80,8.39M,0.87%
2022年03月24日,140.69,140.30,140.71,139.11,10.02M,0.65%
2022年03月23日,139.78,140.98,141.59,139.20,12.09M,-1.99%
2022年03月22日,142.62,142.27,143.93,141.72,13.55M,2.13%
2022年03月21日,139.65,140.35,140.76,138.73,12.68M,-0.32%
2022年03月18日,140.10,140.19,140.85,138.46,23.66M,-0.04%
2022年03月17日,140.15,136.86,140.19,135.92,17.05M,1.26%
2022年03月16日,138.40,134.87,138.49,134.43,20.35M,4.47%
2022年03月15日,132.48,131.80,133.55,131.13,15.10M,1.77%
2022年03月14日,130.17,129.46,132.92,129.23,15.79M,0.99%
2022年03月11日,128.89,132.49,134.08,128.42,20.06M,-2.25%
2022年03月10日,131.86,131.86,133.45,130.32,15.60M,-1.18%
2022年03月09日,133.44,132.90,135.24,132.44,17.54M,4.01%
2022年03月08日,128.30,129.64,131.79,127.27,19.21M,-0.70%
2022年03月07日,129.21,132.17,132.69,128.95,27.56M,-3.86%
2022年03月04日,134.40,134.94,135.42,132.40,21.02M,-2.81%
2022年03月03日,138.29,139.84,140.98,137.06,16.64M,-0.71%
2022年03月02日,139.28,137.29,140.04,136.61,19.41M,2.07%
2022年03月01日,136.45,140.04,140.48,133.58,36.84M,-3.77%
2022年02月28日,141.80,143.55,145.06,140.88,31.32M,-4.17%
2022年02月25日,147.97,145.25,150.13,144.91,18.37M,2.37%
2022年02月24日,144.55,142.94,144.99,139.78,25.66M,-2.78%
2022年02月23日,148.69,153.12,153.30,147.97,11.80M,-2.09%
2022年02月22日,151.87,150.60,153.24,150.41,11.33M,-0.18%
2022年02月18日,152.14,152.13,154.14,151.13,11.73M,0.47%
2022年02月17日,151.43,153.00,153.73,150.66,11.37M,-2.30%
2022年02月16日,155.00,153.74,156.10,153.74,9.08M,0.18%
2022年02月15日,154.72,154.51,155.94,153.85,9.50M,1.46%
2022年02月14日,152.49,152.73,153.68,150.32,17.03M,-0.93%
2022年02月11日,153.92,155.61,158.19,152.97,16.83M,-1.30%
2022年02月10日,155.95,156.66,159.03,155.22,16.46M,-0.42%
2022年02月09日,156.60,156.59,157.43,155.82,9.13M,0.42%
2022年02月08日,155.95,155.00,158.48,154.80,20.41M,1.88%
