日付け,終値,始値,高値,安値,変化率 %
2022年07月29日,"4,784.000","4,784.000","4,784.000","4,784.000",0.48%
2022年07月28日,"4,761.000","4,761.000","4,761.000","4,761.000",0.49%
2022年07月27日,"4,738.000","4,738.000","4,738.000","4,738.000",-0.40%
2022年07月26日,"4,757.000","4,757.000","4,757.000","4,757.000",0.00%
2022年07月25日,"4,757.000","4,757.000","4,757.000","4,757.000",0.40%
2022年07月22日,"4,738.000","4,738.000","4,738.000","4,738.000",0.38%
2022年07月21日,"4,720.000","4,720.000","4,720.000","4,720.000",0.68%
2022年07月20日,"4,688.000","4,688.000","4,688.000","4,688.000",0.39%
2022年07月19日,"4,670.000","4,670.000","4,670.000","4,670.000",1.08%
2022年07月15日,"4,620.000","4,620.000","4,620.000","4,620.000",-0.41%
2022年07月14日,"4,639.000","4,639.000","4,639.000","4,639.000",-0.09%
2022年07月13日,"4,643.000","4,643.000","4,643.000","4,643.000",0.04%
2022年07月12日,"4,641.000","4,641.000","4,641.000","4,641.000",-0.06%
2022年07月11日,"4,644.000","4,644.000","4,644.000","4,644.000",0.19%
2022年07月08日,"4,635.000","4,635.000","4,635.000","4,635.000",0.83%
2022年07月07日,"4,597.000","4,597.000","4,597.000","4,597.000",0.20%
2022年07月06日,"4,588.000","4,588.000","4,588.000","4,588.000",0.07%
2022年07月05日,"4,585.000","4,585.000","4,585.000","4,585.000",-0.02%
2022年07月04日,"4,586.000","4,586.000","4,586.000","4,586.000",0.28%
2022年07月01日,"4,573.000","4,573.000","4,573.000","4,573.000",-0.28%
2022年06月30日,"4,586.000","4,586.000","4,586.000","4,586.000",-0.67%
2022年06月29日,"4,617.000","4,617.000","4,617.000","4,617.000",-0.84%
2022年06月28日,"4,656.000","4,656.000","4,656.000","4,656.000",-0.06%
2022年06月27日,"4,659.000","4,659.000","4,659.000","4,659.000",0.58%
2022年06月24日,"4,632.000","4,632.000","4,632.000","4,632.000",0.24%
2022年06月23日,"4,621.000","4,621.000","4,621.000","4,621.000",-0.28%
2022年06月22日,"4,634.000","4,634.000","4,634.000","4,634.000",0.11%
2022年06月21日,"4,629.000","4,629.000","4,629.000","4,629.000",0.00%
2022年06月20日,"4,629.000","4,629.000","4,629.000","4,629.000",0.22%
2022年06月17日,"4,619.000","4,619.000","4,619.000","4,619.000",-1.07%
2022年06月16日,"4,669.000","4,669.000","4,669.000","4,669.000",0.82%
2022年06月15日,"4,631.000","4,631.000","4,631.000","4,631.000",-0.15%
2022年06月14日,"4,638.000","4,638.000","4,638.000","4,638.000",-2.67%
2022年06月13日,"4,765.000","4,765.000","4,765.000","4,765.000",-1.24%
2022年06月10日,"4,825.000","4,825.000","4,825.000","4,825.000",-0.49%
2022年06月09日,"4,849.000","4,849.000","4,849.000","4,849.000",-0.35%
2022年06月08日,"4,866.000","4,866.000","4,866.000","4,866.000",-0.23%
2022年06月07日,"4,877.000","4,877.000","4,877.000","4,877.000",-0.29%
2022年06月06日,"4,891.000","4,891.000","4,891.000","4,891.000",-0.41%
2022年06月03日,"4,911.000","4,911.000","4,911.000","4,911.000",0.04%
2022年06月02日,"4,909.000","4,909.000","4,909.000","4,909.000",-0.06%
2022年06月01日,"4,912.000","4,912.000","4,912.000","4,912.000",-0.20%
2022年05月31日,"4,922.000","4,922.000","4,922.000","4,922.000",-0.02%
2022年05月30日,"4,923.000","4,923.000","4,923.000","4,923.000",0.65%
2022年05月27日,"4,891.000","4,891.000","4,891.000","4,891.000",1.33%
2022年05月26日,"4,827.000","4,827.000","4,827.000","4,827.000",0.94%
2022年05月25日,"4,782.000","4,782.000","4,782.000","4,782.000",0.21%
2022年05月24日,"4,772.000","4,772.000","4,772.000","4,772.000",0.15%
2022年05月23日,"4,765.000","4,765.000","4,765.000","4,765.000",0.17%
