日付け,終値,始値,高値,安値,出来高,変化率 %
2022年07月29日,411.99,407.58,413.03,406.77,87.00M,1.46%
2022年07月28日,406.07,401.89,406.80,398.15,72.88M,1.25%
2022年07月27日,401.04,394.36,402.88,394.05,81.86M,2.60%
2022年07月26日,390.89,393.84,394.06,389.95,51.87M,-1.18%
2022年07月25日,395.57,395.75,396.47,393.21,51.13M,0.12%
2022年07月22日,395.09,398.92,400.18,392.75,72.20M,-0.93%
2022年07月21日,398.79,394.16,398.84,391.63,64.21M,1.02%
2022年07月20日,394.77,392.47,396.26,391.03,71.22M,0.64%
2022年07月19日,392.27,386.08,392.87,385.39,78.10M,2.70%
2022年07月18日,381.95,388.38,389.09,380.66,62.67M,-0.83%
2022年07月15日,385.13,382.55,385.25,380.54,79.06M,1.91%
2022年07月14日,377.91,373.61,379.05,371.04,86.78M,-0.24%
2022年07月13日,378.83,375.10,381.92,374.66,82.76M,-0.53%
2022年07月12日,380.83,383.65,386.16,378.99,61.51M,-0.88%
2022年07月11日,384.23,385.85,386.87,383.50,57.90M,-1.14%
2022年07月08日,388.67,387.27,390.64,385.66,72.40M,-0.08%
2022年07月07日,388.99,385.12,389.83,383.27,63.86M,1.50%
2022年07月06日,383.25,382.11,385.87,379.60,68.70M,0.34%
2022年07月05日,381.96,375.88,381.98,372.90,79.76M,0.19%
2022年07月01日,381.24,376.56,381.70,373.80,74.84M,1.06%
2022年06月30日,377.25,376.24,380.66,372.56,111.70M,-0.81%
2022年06月29日,380.34,381.23,382.27,378.42,65.27M,-0.08%
2022年06月28日,380.65,390.23,393.16,380.53,85.83M,-2.04%
2022年06月27日,388.59,391.05,391.36,387.44,64.66M,-0.38%
2022年06月24日,390.08,381.40,390.09,381.36,98.05M,3.18%
2022年06月23日,378.06,376.64,378.83,372.89,76.95M,0.98%
2022年06月22日,374.39,370.62,378.72,370.18,86.96M,-0.18%
2022年06月21日,375.07,371.89,376.52,371.81,75.50M,2.52%
2022年06月17日,365.86,365.51,369.38,362.17,111.11M,-0.22%
2022年06月16日,366.65,370.51,370.94,364.08,133.25M,-3.31%
2022年06月15日,379.20,377.36,383.90,372.12,124.01M,1.43%
2022年06月14日,373.87,376.85,377.94,370.59,102.30M,-0.30%
2022年06月13日,375.00,379.85,381.81,373.30,158.54M,-3.80%
2022年06月10日,389.80,394.88,395.78,389.75,132.89M,-2.90%
2022年06月09日,401.44,409.34,411.74,401.44,84.58M,-2.38%
2022年06月08日,411.22,413.93,415.82,410.38,64.35M,-1.09%
2022年06月07日,415.74,408.10,416.22,407.61,58.04M,0.96%
2022年06月06日,411.79,414.78,416.61,410.55,57.51M,0.30%
2022年06月03日,410.54,412.40,414.04,409.51,71.87M,-1.64%
2022年06月02日,417.39,409.42,417.44,407.04,78.54M,1.90%
2022年06月01日,409.59,415.17,416.24,406.93,85.92M,-0.81%
2022年05月31日,412.93,413.55,416.46,410.03,95.94M,-0.56%
2022年05月27日,415.26,407.91,415.38,407.70,84.77M,2.45%
2022年05月26日,405.31,398.67,407.04,398.45,82.17M,2.00%
2022年05月25日,397.37,392.31,399.45,391.89,88.82M,0.88%
2022年05月24日,393.89,392.56,395.15,386.96,90.87M,-0.76%
2022年05月23日,396.92,392.83,397.73,390.38,74.74M,1.87%
