日付け,終値,始値,高値,安値,出来高,変化率 %
2022年07月29日,"1,302.97","1,296.07","1,309.40","1,295.55",,0.58%
2022年07月28日,"1,295.47","1,306.37","1,309.68","1,296.07",,-0.81%
2022年07月27日,"1,306.08","1,311.03","1,316.68","1,305.74",,-0.31%
2022年07月26日,"1,310.10","1,311.47","1,313.60","1,306.75",,-0.08%
2022年07月25日,"1,311.12","1,310.60","1,313.97","1,307.33",,0.08%
2022年07月22日,"1,310.01","1,306.66","1,316.22","1,306.22",,0.29%
2022年07月21日,"1,306.16","1,313.70","1,316.88","1,306.55",,-0.53%
2022年07月20日,"1,313.10","1,304.38","1,314.22","1,302.35",,0.61%
2022年07月19日,"1,305.12","1,319.20","1,319.99","1,305.38",,-1.00%
2022年07月18日,"1,318.30","1,319.15","1,322.13","1,312.97",,0.04%
2022年07月15日,"1,317.74","1,317.57","1,329.58","1,316.60",,0.10%
2022年07月14日,"1,316.41","1,305.10","1,327.31","1,303.55",,0.90%
2022年07月13日,"1,304.73","1,306.45","1,310.83","1,301.75",,-0.04%
2022年07月12日,"1,305.21","1,311.16","1,316.73","1,305.01",,-0.43%
2022年07月11日,"1,310.81","1,294.79","1,314.39","1,294.62",,1.25%
2022年07月08日,"1,294.68","1,297.97","1,303.68","1,292.29",,-0.23%
2022年07月07日,"1,297.62","1,305.14","1,308.74","1,295.90",,-0.55%
2022年07月06日,"1,304.79","1,309.09","1,311.02","1,302.81",,-0.32%
2022年07月05日,"1,308.95","1,296.06","1,315.57","1,293.68",,1.01%
2022年07月04日,"1,295.87","1,298.92","1,300.16","1,292.05",,-0.22%
2022年07月01日,"1,298.67","1,288.05","1,302.81","1,287.80",,0.87%
2022年06月30日,"1,287.51","1,301.96","1,304.24","1,287.35",,-1.11%
2022年06月29日,"1,301.90","1,292.43","1,302.80","1,289.34",,0.76%
2022年06月28日,"1,292.06","1,286.63","1,293.00","1,281.46",,0.45%
2022年06月27日,"1,286.31","1,289.29","1,293.35","1,280.58",,-0.20%
2022年06月24日,"1,288.89","1,300.14","1,302.32","1,288.11",,-0.84%
2022年06月23日,"1,299.81","1,297.69","1,307.92","1,296.32",,0.17%
2022年06月22日,"1,297.58","1,292.08","1,305.26","1,290.69",,0.45%
2022年06月21日,"1,291.72","1,292.55","1,294.29","1,287.34",,0.01%
2022年06月20日,"1,291.54","1,291.50","1,296.26","1,287.91",,0.02%
