日付け,終値,始値,高値,安値,出来高,変化率 %
2022年07月29日,118.18,118.36,118.43,117.10,364.23K,-0.23%
2022年07月28日,118.45,116.99,118.57,116.70,265.57K,0.95%
2022年07月27日,117.33,117.47,117.67,117.06,-,-0.26%
2022年07月26日,117.63,117.50,118.06,117.36,-,0.31%
2022年07月25日,117.27,117.20,117.47,116.88,-,-0.11%
2022年07月22日,117.40,116.61,117.68,116.43,-,1.02%
2022年07月21日,116.22,115.09,116.35,114.22,-,0.93%
2022年07月20日,115.15,114.85,115.96,114.68,-,0.44%
2022年07月19日,114.65,115.55,115.76,114.24,-,-0.43%
2022年07月18日,115.14,115.37,115.74,114.97,-,-0.43%
2022年07月15日,115.64,116.20,116.39,115.36,-,0.00%
2022年07月14日,115.64,116.03,116.03,115.11,-,-0.36%
2022年07月13日,116.06,115.50,116.47,114.98,-,0.16%
2022年07月12日,115.88,115.09,116.55,115.09,-,0.97%
2022年07月11日,114.77,114.45,115.33,114.44,-,0.29%
2022年07月08日,114.44,115.46,115.63,114.08,179.72K,-0.90%
2022年07月07日,115.48,115.47,115.65,114.66,248.35K,-0.41%
2022年07月06日,115.95,115.76,117.09,115.47,273.50K,-0.11%
2022年07月05日,116.08,114.91,116.36,114.60,243.09K,1.19%
2022年07月04日,114.71,115.52,115.63,114.62,150.24K,-1.09%
2022年07月01日,115.97,114.44,116.58,113.79,290.41K,1.75%
2022年06月30日,113.98,113.30,114.47,113.03,325.16K,0.96%
2022年06月29日,112.90,112.60,112.96,111.72,231.77K,-0.26%
2022年06月28日,113.19,113.51,113.96,113.10,0.09K,-1.23%
2022年06月27日,114.60,115.70,115.76,115.02,0.09K,-1.39%
2022年06月24日,116.22,116.76,117.00,114.81,0.15K,0.03%
2022年06月23日,116.19,115.54,116.25,115.47,0.07K,2.35%
2022年06月22日,113.52,111.38,112.67,111.34,-,1.01%
2022年06月21日,112.38,111.27,111.68,110.57,-,-0.43%
2022年06月20日,112.87,113.93,113.93,113.93,0.01K,-0.73%
2022年06月17日,113.70,113.45,113.45,113.45,0.45K,0.94%
2022年06月16日,112.64,112.75,113.12,109.91,-,-0.62%
2022年06月15日,113.34,113.07,113.54,113.07,0.43K,0.72%
2022年06月14日,112.53,113.49,113.49,112.05,0.11K,-0.35%
2022年06月13日,112.93,113.30,113.53,113.10,0.18K,-0.62%
2022年06月10日,113.64,114.59,114.60,113.54,0.09K,-0.83%
2022年06月09日,114.59,115.07,115.12,114.51,0.27K,-0.74%
2022年06月08日,115.44,115.59,115.59,115.59,0.90K,-0.29%
2022年06月07日,115.77,115.25,115.77,115.04,0.62K,0.39%
2022年06月06日,115.32,115.99,116.04,115.27,1.60K,-0.96%
2022年06月01日,116.44,116.51,116.75,116.23,1.25K,-0.15%
2022年05月31日,116.61,117.69,118.05,116.51,3.22K,-1.08%
2022年05月30日,117.88,118.20,118.20,117.73,14.99K,-0.44%
2022年05月27日,118.40,118.35,118.88,118.03,90.99K,0.39%
2022年05月26日,117.94,118.95,119.17,117.88,470.14K,-0.56%
2022年05月25日,118.61,118.67,119.10,118.43,642.73K,-0.43%
2022年05月24日,119.12,118.04,119.30,117.92,530.40K,0.96%
2022年05月23日,117.99,118.33,118.88,117.91,233.05K,-0.75%
2022年05月20日,118.88,118.80,118.99,118.33,196.43K,-0.19%
2022年05月19日,119.11,119.10,119.95,118.89,249.56K,-0.04%
2022年05月18日,119.16,118.70,119.49,118.46,238.66K,0.27%
2022年05月17日,118.84,119.74,119.78,118.67,271.67K,-1.19%
2022年05月16日,120.27,120.49,120.53,119.66,165.35K,0.02%
2022年05月13日,120.24,120.56,120.68,120.07,171.23K,-0.36%
2022年05月12日,120.68,120.05,121.07,120.01,263.64K,1.40%
2022年05月11日,119.01,119.22,119.69,118.25,299.91K,-0.11%
2022年05月10日,119.14,118.08,119.51,117.98,276.69K,0.87%
2022年05月09日,118.11,117.58,118.22,116.87,237.53K,0.46%
2022年05月06日,117.57,118.35,118.43,117.43,234.16K,-0.42%
2022年05月05日,118.06,118.07,119.53,117.54,324.09K,0.20%
2022年05月04日,117.83,117.66,118.03,117.45,175.41K,-0.20%
2022年05月03日,118.07,117.65,118.36,117.39,224.89K,-0.31%
2022年04月29日,118.44,119.06,119.34,118.35,279.80K,-0.34%
2022年04月28日,118.85,119.47,119.68,118.66,-,-0.48%
2022年04月27日,119.42,119.39,119.72,119.21,294.06K,-0.21%
2022年04月26日,119.67,118.94,119.79,118.75,199.05K,0.41%
2022年04月25日,119.18,118.70,119.31,118.27,203.43K,0.98%
2022年04月22日,118.02,117.84,118.29,117.22,231.08K,0.23%
2022年04月21日,117.75,118.02,118.49,117.27,239.87K,-0.55%
2022年04月20日,118.40,117.60,118.71,117.54,264.57K,0.58%
2022年04月19日,117.72,118.46,118.54,117.53,220.87K,-0.89%
2022年04月14日,118.78,119.21,119.67,118.54,192.06K,-0.55%
2022年04月13日,119.44,118.86,119.52,118.54,195.77K,-0.04%
2022年04月12日,119.49,118.82,119.70,118.42,242.64K,0.38%
2022年04月11日,119.04,119.55,119.73,118.95,173.91K,-0.73%
2022年04月08日,119.92,120.25,120.47,119.55,142.76K,-0.21%
2022年04月07日,120.17,120.59,120.91,119.83,231.30K,-0.02%
2022年04月06日,120.19,120.87,120.96,119.92,195.57K,-0.52%
2022年04月05日,120.82,121.86,121.88,120.76,215.25K,-0.87%
2022年04月04日,121.88,121.55,122.35,121.31,182.49K,0.57%
2022年04月01日,121.19,121.06,121.53,120.55,170.10K,-0.03%
2022年03月31日,121.23,120.88,121.48,120.85,274.35K,0.35%
2022年03月30日,120.81,121.17,121.42,120.29,223.42K,1.53%
2022年03月29日,118.99,119.15,119.15,118.97,0.46K,-0.74%
2022年03月28日,119.88,118.99,118.99,118.78,0.02K,0.50%
