日付け,終値,始値,高値,安値,出来高,変化率 %
2022年07月29日,"6,945.20","6,889.70","6,973.60","6,889.70",919.21M,0.81%
2022年07月28日,"6,889.70","6,823.20","6,892.10","6,823.20",721.20M,0.97%
2022年07月27日,"6,823.20","6,807.30","6,833.40","6,778.90",626.05M,0.23%
2022年07月26日,"6,807.30","6,789.90","6,815.00","6,783.20",619.01M,0.26%
2022年07月25日,"6,789.90","6,791.50","6,803.00","6,775.70",594.06M,-0.02%
2022年07月22日,"6,791.50","6,794.30","6,816.10","6,758.50",822.11M,-0.04%
2022年07月21日,"6,794.30","6,759.20","6,794.30","6,743.90",834.47M,0.52%
2022年07月20日,"6,759.20","6,649.60","6,775.40","6,649.60",746.00M,1.65%
2022年07月19日,"6,649.60","6,687.10","6,696.10","6,639.60",659.23M,-0.56%
2022年07月18日,"6,687.10","6,605.60","6,687.10","6,605.60",528.42M,1.23%
2022年07月15日,"6,605.60","6,650.60","6,650.60","6,537.20",629.77M,-0.68%
2022年07月14日,"6,650.60","6,621.60","6,659.30","6,611.70",735.50M,0.44%
2022年07月13日,"6,621.60","6,606.30","6,621.60","6,584.10",673.88M,0.23%
2022年07月12日,"6,606.30","6,602.20","6,649.70","6,601.90",618.65M,0.06%
2022年07月11日,"6,602.20","6,678.00","6,678.00","6,602.20",551.96M,-1.14%
2022年07月08日,"6,678.00","6,648.00","6,715.00","6,648.00",586.43M,0.45%
2022年07月07日,"6,648.00","6,594.50","6,648.00","6,594.50",700.45M,0.81%
2022年07月06日,"6,594.50","6,629.30","6,651.60","6,587.90",752.35M,-0.52%
2022年07月05日,"6,629.30","6,612.60","6,657.00","6,596.80",532.85M,0.25%
2022年07月04日,"6,612.60","6,539.90","6,659.00","6,539.90",574.59M,1.11%
2022年07月01日,"6,539.90","6,568.10","6,623.90","6,539.90",638.96M,-0.43%
2022年06月30日,"6,568.10","6,700.20","6,700.20","6,568.10",880.81M,-1.97%
2022年06月29日,"6,700.20","6,763.60","6,763.60","6,666.40",789.05M,-0.94%
2022年06月28日,"6,763.60","6,706.00","6,763.60","6,706.00",754.45M,0.86%
2022年06月27日,"6,706.00","6,578.70","6,716.10","6,578.70",897.16M,1.94%
2022年06月24日,"6,578.70","6,528.40","6,585.10","6,501.60",829.30M,0.77%
2022年06月23日,"6,528.40","6,508.50","6,551.80","6,495.00",906.15M,0.31%
2022年06月22日,"6,508.50","6,523.80","6,557.80","6,493.20",914.87M,-0.23%
2022年06月21日,"6,523.80","6,433.40","6,537.70","6,433.40",884.89M,1.41%
2022年06月20日,"6,433.40","6,474.80","6,493.40","6,407.00",857.63M,-0.64%
2022年06月17日,"6,474.80","6,591.10","6,591.10","6,410.40",1.73B,-1.76%
2022年06月16日,"6,591.10","6,601.00","6,671.60","6,583.90",948.24M,-0.15%
2022年06月15日,"6,601.00","6,686.00","6,686.00","6,589.70",942.01M,-1.27%
2022年06月14日,"6,686.00","6,932.00","6,932.00","6,566.10",1.28B,-3.55%
2022年06月10日,"6,932.00","7,019.70","7,019.70","6,926.90",747.78M,-1.25%
2022年06月09日,"7,019.70","7,121.10","7,121.10","7,019.70",677.26M,-1.42%
2022年06月08日,"7,121.10","7,095.70","7,162.10","7,095.70",764.08M,0.36%
2022年06月07日,"7,095.70","7,206.30","7,209.00","7,082.20",691.35M,-1.53%
2022年06月06日,"7,206.30","7,238.80","7,238.80","7,195.20",503.01M,-0.45%
2022年06月03日,"7,238.80","7,175.90","7,254.60","7,175.90",639.35M,0.88%
2022年06月02日,"7,175.90","7,234.00","7,234.00","7,150.50",740.28M,-0.80%
2022年06月01日,"7,234.00","7,211.20","7,238.20","7,204.40",905.28M,0.32%
2022年05月31日,"7,211.20","7,286.60","7,288.40","7,211.20",1.24B,-1.03%
2022年05月30日,"7,286.60","7,182.70","7,286.60","7,182.70",636.97M,1.45%
2022年05月27日,"7,182.70","7,105.90","7,196.70","7,105.90",562.13M,1.08%
2022年05月26日,"7,105.90","7,155.20","7,181.40","7,105.90",598.82M,-0.69%
2022年05月25日,"7,155.20","7,218.60","7,218.60","7,134.60",654.39M,0.37%
2022年05月24日,"7,128.80","7,148.90","7,165.80","7,114.00",925.34M,-0.28%
2022年05月23日,"7,148.90","7,145.60","7,196.00","7,135.80",559.69M,0.05%
2022年05月20日,"7,145.60","7,064.50","7,154.60","7,064.50",698.13M,1.15%
2022年05月19日,"7,064.50","7,182.70","7,182.70","7,037.60",771.90M,-1.65%
