日付け,終値,始値,高値,安値,出来高,変化率 %
2022年07月29日,"13,484.05","13,353.28","13,515.03","13,340.59",82.63M,1.52%
2022年07月28日,"13,282.11","13,214.41","13,289.39","13,091.26",74.31M,0.88%
2022年07月27日,"13,166.38","13,158.64","13,204.58","13,089.96",79.90M,0.53%
2022年07月26日,"13,096.93","13,181.92","13,197.95","13,042.41",58.21M,-0.86%
2022年07月25日,"13,210.32","13,183.24","13,337.06","13,151.86",56.56M,-0.33%
2022年07月22日,"13,253.68","13,179.56","13,367.04","13,171.14",76.08M,0.05%
2022年07月21日,"13,246.64","13,261.82","13,318.64","13,097.75",87.89M,-0.27%
2022年07月20日,"13,281.98","13,356.67","13,399.40","13,129.13",75.18M,-0.20%
2022年07月19日,"13,308.41","12,884.83","13,351.20","12,827.89",73.42M,2.69%
2022年07月18日,"12,959.81","12,935.05","13,062.23","12,913.69",61.27M,0.74%
2022年07月15日,"12,864.72","12,562.15","12,875.67","12,532.94",77.50M,2.76%
2022年07月14日,"12,519.66","12,759.29","12,788.01","12,434.29",72.61M,-1.86%
2022年07月13日,"12,756.32","12,800.87","12,851.90","12,625.22",63.03M,-1.16%
2022年07月12日,"12,905.48","12,751.30","12,905.48","12,655.06",65.20M,0.57%
2022年07月11日,"12,832.44","12,783.09","12,934.87","12,774.23",55.46M,-1.40%
2022年07月08日,"13,015.23","12,814.10","13,019.13","12,766.80",75.19M,1.34%
2022年07月07日,"12,843.22","12,757.63","12,867.71","12,693.65",79.39M,1.97%
2022年07月06日,"12,594.52","12,587.55","12,668.68","12,509.22",78.68M,1.56%
2022年07月05日,"12,401.20","12,851.29","12,870.24","12,390.95",90.49M,-2.91%
2022年07月04日,"12,773.38","12,904.09","12,919.70","12,741.63",52.50M,-0.31%
2022年07月01日,"12,813.03","12,627.66","12,894.38","12,623.23",80.29M,0.23%
2022年06月30日,"12,783.77","12,795.22","12,811.43","12,618.68",114.22M,-1.69%
2022年06月29日,"13,003.35","13,089.99","13,132.36","12,946.76",70.35M,-1.73%
2022年06月28日,"13,231.82","13,264.62","13,358.62","13,221.04",61.09M,0.35%
2022年06月27日,"13,186.07","13,217.90","13,378.42","13,126.86",69.03M,0.52%
2022年06月24日,"13,118.13","12,949.87","13,160.71","12,904.86",95.71M,1.59%
2022年06月23日,"12,912.59","13,082.62","13,120.31","12,912.59",99.25M,-1.76%
2022年06月22日,"13,144.28","13,062.26","13,206.11","12,965.69",76.14M,-1.11%
2022年06月21日,"13,292.40","13,335.15","13,443.77","13,273.20",64.76M,0.20%
2022年06月20日,"13,265.60","13,207.79","13,265.60","13,106.38",54.60M,1.06%
2022年06月17日,"13,126.26","13,092.85","13,237.70","13,020.42",190.39M,0.67%
2022年06月16日,"13,038.49","13,440.43","13,443.32","13,007.91",104.05M,-3.31%
2022年06月15日,"13,485.29","13,480.50","13,566.80","13,358.40",80.76M,1.36%
2022年06月14日,"13,304.39","13,557.44","13,569.93","13,294.00",78.30M,-0.91%
2022年06月13日,"13,427.03","13,564.47","13,648.84","13,379.87",91.21M,-2.43%
2022年06月10日,"13,761.83","14,110.03","14,121.07","13,749.77",89.34M,-3.08%
2022年06月09日,"14,198.80","14,364.59","14,420.73","14,186.93",64.87M,-1.71%
2022年06月08日,"14,445.99","14,595.78","14,602.06","14,378.50",61.85M,-0.76%
2022年06月07日,"14,556.62","14,569.30","14,590.69","14,458.34",51.84M,-0.66%
2022年06月06日,"14,653.81","14,576.87","14,709.38","14,548.26",38.14M,1.34%
2022年06月03日,"14,460.09","14,585.18","14,589.91","14,443.11",46.40M,-0.17%
2022年06月02日,"14,485.17","14,394.36","14,492.78","14,393.04",50.05M,1.01%
2022年06月01日,"14,340.47","14,478.37","14,489.00","14,329.51",68.01M,-0.33%
2022年05月31日,"14,388.35","14,513.34","14,547.09","14,359.39",146.72M,-1.29%
2022年05月30日,"14,575.98","14,572.80","14,589.45","14,509.58",54.72M,0.79%
2022年05月27日,"14,462.19","14,289.53","14,463.50","14,246.83",71.34M,1.62%
2022年05月26日,"14,231.29","14,025.44","14,253.61","14,025.44",57.44M,1.59%
2022年05月25日,"14,007.93","14,022.27","14,053.59","13,871.48",64.01M,0.63%
2022年05月24日,"13,919.75","14,043.22","14,105.06","13,917.08",70.96M,-1.80%
2022年05月23日,"14,175.40","14,179.84","14,217.48","14,026.14",60.58M,1.38%
2022年05月20日,"13,981.91","13,968.26","14,161.32","13,944.16",83.09M,0.72%
2022年05月19日,"13,882.30","13,822.35","13,882.30","13,683.59",82.30M,-0.90%
2022年05月18日,"14,007.76","14,197.18","14,226.47","13,999.54",69.36M,-1.26%
2022年05月17日,"14,185.94","14,072.67","14,203.09","14,056.98",71.18M,1.59%
2022年05月16日,"13,964.38","13,986.17","14,043.10","13,864.95",67.92M,-0.45%
2022年05月13日,"14,027.93","13,837.42","14,034.15","13,795.64",90.81M,2.10%
2022年05月12日,"13,739.64","13,512.13","13,808.09","13,479.36",110.59M,-0.64%
2022年05月11日,"13,828.64","13,587.29","13,829.10","13,508.56",107.72M,2.17%
2022年05月10日,"13,534.74","13,550.02","13,719.95","13,514.49",84.93M,1.15%
2022年05月09日,"13,380.67","13,624.92","13,697.90","13,380.67",82.76M,-2.15%
2022年05月06日,"13,674.29","13,832.65","13,851.45","13,592.15",96.55M,-1.64%
2022年05月05日,"13,902.52","14,282.77","14,315.24","13,857.58",86.03M,-0.49%
2022年05月04日,"13,970.82","14,020.90","14,073.21","13,970.62",71.63M,-0.49%
2022年05月03日,"14,039.47","13,958.92","14,081.15","13,920.46",86.47M,0.72%
2022年05月02日,"13,939.07","13,996.82","14,036.11","13,778.13",85.97M,-1.13%
2022年04月29日,"14,097.88","14,095.93","14,187.02","14,038.55",102.03M,0.84%
2022年04月28日,"13,979.84","13,907.06","14,074.71","13,822.16",97.67M,1.35%
2022年04月27日,"13,793.94","13,760.22","13,849.43","13,566.20",134.62M,0.27%
2022年04月26日,"13,756.40","14,087.08","14,112.84","13,749.68",98.35M,-1.20%
2022年04月25日,"13,924.17","13,908.05","14,037.63","13,863.39",85.28M,-1.54%
2022年04月22日,"14,142.09","14,320.51","14,372.47","14,142.09",82.42M,-2.48%
2022年04月21日,"14,502.41","14,376.05","14,598.11","14,374.59",78.40M,0.98%
2022年04月20日,"14,362.03","14,154.48","14,362.03","14,149.68",75.49M,1.47%
