日付け,終値,始値,高値,安値,出来高,変化率 %
2022年07月29日,"12,947.97","12,784.20","12,981.47","12,727.13",339.80M,1.81%
2022年07月28日,"12,717.87","12,581.08","12,741.54","12,433.55",244.83M,0.92%
2022年07月27日,"12,601.47","12,300.48","12,654.64","12,258.92",301.61M,4.26%
2022年07月26日,"12,086.90","12,251.29","12,255.87","12,051.24",224.01M,-1.96%
2022年07月25日,"12,328.41","12,391.21","12,415.59","12,244.99",188.91M,-0.55%
2022年07月22日,"12,396.47","12,574.84","12,662.86","12,322.93",235.82M,-1.77%
2022年07月21日,"12,619.41","12,466.13","12,619.41","12,351.97",219.96M,1.44%
2022年07月20日,"12,439.68","12,269.07","12,487.80","12,233.48",237.99M,1.55%
2022年07月19日,"12,249.42","12,046.69","12,258.37","11,968.41",265.21M,3.13%
2022年07月18日,"11,877.50","12,087.70","12,156.09","11,838.26",230.95M,-0.89%
2022年07月15日,"11,983.62","11,897.47","11,987.52","11,829.17",263.64M,1.83%
2022年07月14日,"11,768.39","11,637.38","11,800.99","11,488.27",204.46M,0.34%
2022年07月13日,"11,728.53","11,526.99","11,818.06","11,500.61",203.82M,-0.14%
2022年07月12日,"11,744.99","11,926.84","11,989.50","11,684.13",208.67M,-0.97%
2022年07月11日,"11,860.28","12,009.02","12,025.17","11,831.89",198.81M,-2.19%
2022年07月08日,"12,125.69","11,977.95","12,178.99","11,956.17",174.94M,0.14%
2022年07月07日,"12,109.05","11,913.73","12,137.66","11,898.17",224.03M,2.16%
2022年07月06日,"11,852.59","11,807.08","11,941.31","11,727.81",205.18M,0.62%
2022年07月05日,"11,779.91","11,423.05","11,780.98","11,367.30",246.56M,1.68%
2022年07月01日,"11,585.68","11,476.43","11,590.86","11,379.22",223.44M,0.71%
2022年06月30日,"11,503.72","11,532.32","11,649.30","11,323.70",291.13M,-1.33%
2022年06月29日,"11,658.26","11,617.68","11,709.55","11,537.90",191.18M,0.18%
2022年06月28日,"11,637.77","12,021.34","12,133.54","11,633.51",244.43M,-2.92%
2022年06月27日,"11,987.36","12,157.93","12,173.62","11,965.92",218.21M,-0.98%
2022年06月24日,"12,105.85","11,828.72","12,110.70","11,812.18",427.49M,3.49%
2022年06月23日,"11,697.68","11,622.09","11,729.62","11,515.77",231.44M,1.47%
2022年06月22日,"11,527.71","11,427.62","11,707.33","11,423.75",240.11M,-0.16%
2022年06月21日,"11,546.76","11,446.99","11,638.24","11,446.99",277.38M,2.49%
2022年06月17日,"11,265.99","11,173.64","11,357.62","11,092.09",648.22M,1.24%
2022年06月16日,"11,127.57","11,285.41","11,306.74","11,037.24",326.09M,-4.02%
2022年06月15日,"11,593.77","11,468.78","11,748.07","11,347.52",285.20M,2.49%
2022年06月14日,"11,311.69","11,385.18","11,418.11","11,206.15",239.87M,0.21%
2022年06月13日,"11,288.32","11,472.19","11,567.12","11,254.18",340.67M,-4.60%
2022年06月10日,"11,832.82","12,055.29","12,072.44","11,825.35",282.31M,-3.56%
2022年06月09日,"12,269.78","12,543.37","12,665.04","12,265.86",222.66M,-2.74%
2022年06月08日,"12,615.13","12,680.75","12,776.65","12,578.55",196.32M,-0.76%
2022年06月07日,"12,711.67","12,456.21","12,735.89","12,413.55",191.58M,0.89%
2022年06月06日,"12,599.63","12,745.89","12,804.20","12,534.58",199.63M,0.41%
2022年06月03日,"12,548.03","12,650.92","12,724.71","12,505.98",218.62M,-2.67%
2022年06月02日,"12,892.89","12,498.63","12,897.24","12,450.53",236.84M,2.75%
2022年06月01日,"12,548.36","12,750.31","12,820.40","12,458.35",206.92M,-0.74%
2022年05月31日,"12,642.10","12,689.88","12,762.84","12,482.80",418.27M,-0.31%
2022年05月27日,"12,681.42","12,423.94","12,681.42","12,405.54",247.34M,3.30%
2022年05月26日,"12,276.79","11,906.83","12,337.68","11,901.87",252.30M,2.79%
2022年05月25日,"11,943.93","11,727.59","12,028.42","11,714.27",223.83M,1.48%
2022年05月24日,"11,769.84","11,809.46","11,841.61","11,576.13",231.83M,-2.20%
2022年05月23日,"12,034.28","11,867.08","12,047.62","11,785.76",222.48M,1.68%
2022年05月20日,"11,835.62","12,037.03","12,042.76","11,493.11",310.16M,-0.34%
2022年05月19日,"11,875.63","11,871.33","12,066.65","11,795.79",274.43M,-0.44%
2022年05月18日,"11,928.31","12,353.24","12,389.96","11,891.55",277.03M,-5.06%
2022年05月17日,"12,564.10","12,497.05","12,572.37","12,334.67",234.24M,2.62%
2022年05月16日,"12,243.58","12,297.07","12,395.37","12,196.56",198.21M,-1.16%
2022年05月13日,"12,387.40","12,124.19","12,429.23","12,069.83",268.77M,3.70%
2022年05月12日,"11,945.50","11,792.60","12,126.44","11,692.12",324.27M,-0.18%
2022年05月11日,"11,967.56","12,241.96","12,469.04","11,939.16",300.24M,-3.06%
2022年05月10日,"12,345.86","12,496.18","12,537.89","12,173.58",303.08M,1.30%
2022年05月09日,"12,187.72","12,466.12","12,540.12","12,136.19",320.01M,-3.98%
2022年05月06日,"12,693.54","12,774.21","12,926.58","12,523.07",275.07M,-1.22%
2022年05月05日,"12,850.55","13,344.79","13,344.79","12,710.59",327.49M,-5.06%
2022年05月04日,"13,535.71","13,110.30","13,556.67","12,887.53",287.02M,3.41%
2022年05月03日,"13,089.90","13,045.35","13,178.74","12,982.70",209.20M,0.11%
2022年05月02日,"13,075.85","12,864.83","13,083.57","12,716.62",263.46M,1.72%
2022年04月29日,"12,854.80","13,274.94","13,428.53","12,835.48",319.45M,-4.47%
2022年04月28日,"13,456.06","13,254.96","13,542.56","13,038.17",282.58M,3.48%
2022年04月27日,"13,003.36","13,009.40","13,241.94","12,936.41",256.81M,-0.05%
2022年04月26日,"13,009.71","13,447.66","13,447.66","13,009.65",263.14M,-3.87%
2022年04月25日,"13,533.22","13,275.41","13,541.77","13,239.73",247.87M,1.32%
2022年04月22日,"13,356.87","13,714.63","13,769.40","13,342.79",247.88M,-2.65%
2022年04月21日,"13,720.45","14,174.92","14,277.21","13,682.68",231.64M,-1.99%
2022年04月20日,"13,998.53","14,246.20","14,263.61","13,962.86",217.57M,-1.49%
2022年04月19日,"14,210.26","13,882.75","14,236.51","13,844.74",187.17M,2.15%
2022年04月18日,"13,910.76","13,859.47","13,997.92","13,788.96",172.21M,0.13%
2022年04月14日,"13,893.22","14,225.47","14,235.39","13,884.82",223.06M,-2.28%
2022年04月13日,"14,217.29","13,939.61","14,258.81","13,919.48",189.62M,1.99%
2022年04月12日,"13,940.24","14,175.66","14,264.74","13,882.75",193.95M,-0.36%
2022年04月11日,"13,990.20","14,149.60","14,187.67","13,979.14",211.62M,-2.35%
2022年04月08日,"14,327.26","14,450.53","14,490.19","14,307.68",185.19M,-1.41%
2022年04月07日,"14,531.81","14,469.50","14,624.24","14,315.69",197.28M,0.23%
2022年04月06日,"14,498.89","14,600.30","14,639.35","14,395.40",240.71M,-2.17%
2022年04月05日,"14,820.64","15,109.27","15,120.67","14,782.57",209.49M,-2.24%
2022年04月04日,"15,159.58","14,903.38","15,161.89","14,884.57",206.00M,2.01%
2022年04月01日,"14,861.21","14,886.91","14,925.93","14,723.83",215.30M,0.15%
2022年03月31日,"14,838.49","15,074.24","15,088.38","14,835.16",282.14M,-1.55%
2022年03月30日,"15,071.55","15,177.15","15,229.01","15,010.34",206.58M,-1.10%
2022年03月29日,"15,239.32","15,142.93","15,265.42","15,039.61",220.57M,1.68%
2022年03月28日,"14,987.40","14,763.16","14,989.08","14,705.92",193.74M,1.58%
2022年03月25日,"14,754.31","14,766.90","14,805.88","14,577.59",186.56M,-0.08%
2022年03月24日,"14,765.69","14,529.72","14,767.73","14,440.67",221.27M,2.20%
2022年03月23日,"14,447.55","14,525.22","14,681.33","14,446.04",226.97M,-1.41%
2022年03月22日,"14,654.33","14,396.03","14,688.97","14,385.55",234.86M,1.94%
2022年03月21日,"14,376.09","14,377.15","14,470.68","14,190.53",246.17M,-0.31%
2022年03月18日,"14,420.08","14,061.29","14,427.47","14,014.43",566.58M,2.14%
2022年03月17日,"14,118.60","13,878.99","14,125.67","13,827.34",232.03M,1.16%
2022年03月16日,"13,956.78","13,633.12","13,960.25","13,475.09",333.55M,3.70%
2022年03月15日,"13,458.56","13,174.97","13,488.18","13,092.45",287.73M,3.16%
2022年03月14日,"13,046.64","13,248.09","13,386.67","13,020.40",273.08M,-1.92%
2022年03月11日,"13,301.83","13,701.80","13,714.44","13,285.19",238.44M,-2.13%
2022年03月10日,"13,591.00","13,577.84","13,633.69","13,399.46",234.12M,-1.10%
2022年03月09日,"13,742.20","13,610.48","13,793.11","13,504.48",261.57M,3.58%
2022年03月08日,"13,267.60","13,275.23","13,663.27","13,129.40",308.91M,-0.39%
2022年03月07日,"13,319.38","13,853.53","13,879.10","13,314.44",304.72M,-3.75%
2022年03月04日,"13,837.83","13,957.60","13,992.97","13,738.61",244.70M,-1.41%
2022年03月03日,"14,035.21","14,339.70","14,342.56","13,965.11",230.88M,-1.46%
2022年03月02日,"14,243.69","14,075.11","14,292.72","13,962.69",233.56M,1.70%
2022年03月01日,"14,005.99","14,197.66","14,271.58","13,906.92",262.94M,-1.63%
2022年02月28日,"14,237.81","14,058.61","14,296.60","14,009.36",309.03M,0.34%
2022年02月25日,"14,189.16","13,973.90","14,193.00","13,850.29",241.78M,1.53%
2022年02月24日,"13,974.67","13,065.44","13,989.10","13,065.44",377.16M,3.44%
2022年02月23日,"13,509.43","14,016.94","14,035.93","13,502.58",256.46M,-2.60%
2022年02月22日,"13,870.53","13,892.81","14,109.26","13,720.92",258.34M,-0.99%
2022年02月18日,"14,009.54","14,207.55","14,225.72","13,918.76",266.12M,-1.14%
2022年02月17日,"14,171.74","14,485.08","14,497.46","14,155.43",226.16M,-2.96%
2022年02月16日,"14,603.64","14,514.84","14,647.79","14,399.29",194.98M,-0.12%
2022年02月15日,"14,620.82","14,482.11","14,624.53","14,444.46",222.14M,2.47%
2022年02月14日,"14,268.59","14,233.40","14,400.78","14,119.73",249.43M,0.10%
2022年02月11日,"14,253.84","14,739.46","14,769.64","14,194.54",289.87M,-3.07%
2022年02月10日,"14,705.64","14,770.67","15,037.26","14,636.61",259.08M,-2.33%
2022年02月09日,"15,056.96","14,930.99","15,057.90","14,870.36",220.30M,2.10%
2022年02月08日,"14,747.03","14,533.25","14,785.22","14,485.78",211.61M,1.21%
2022年02月07日,"14,571.25","14,716.43","14,813.86","14,524.63",203.27M,-0.84%
2022年02月04日,"14,694.35","14,566.28","14,832.05","14,452.28",238.70M,1.33%
2022年02月03日,"14,501.11","14,693.85","14,856.51","14,471.19",310.21M,-4.22%
2022年02月02日,"15,139.74","15,173.03","15,196.40","14,960.85",297.73M,0.80%
