日付け,終値,始値,高値,安値,出来高,変化率 %
2022年07月29日,157.64,157.48,157.93,156.21,811.72K,-0.16%
2022年07月28日,157.90,155.75,157.97,154.75,809.49K,1.11%
2022年07月27日,156.16,155.80,156.24,155.36,645.61K,0.10%
2022年07月26日,156.01,154.82,156.28,154.52,648.76K,0.81%
2022年07月25日,154.75,154.21,154.86,153.78,503.03K,0.19%
2022年07月22日,154.46,152.32,155.16,152.13,796.40K,1.50%
2022年07月21日,152.18,151.88,152.38,149.69,917.64K,0.59%
2022年07月20日,151.28,151.01,152.37,150.83,713.60K,0.12%
2022年07月19日,151.10,152.20,152.60,150.62,695.48K,-0.54%
2022年07月18日,151.92,152.95,153.32,151.47,508.83K,-0.77%
2022年07月15日,153.10,152.84,153.80,152.26,578.80K,0.61%
2022年07月14日,152.17,152.98,153.01,151.21,785.11K,-0.29%
2022年07月13日,152.62,152.70,153.17,151.66,781.00K,-0.25%
2022年07月12日,153.01,151.32,153.48,151.26,808.50K,1.06%
2022年07月11日,151.40,149.90,151.67,149.75,467.79K,0.89%
2022年07月08日,150.07,150.46,151.17,149.79,559.02K,-0.32%
2022年07月07日,150.55,151.33,151.65,150.15,809.46K,-0.91%
2022年07月06日,151.93,150.85,152.92,150.56,882.27K,0.46%
2022年07月05日,151.24,149.24,151.45,148.72,804.11K,1.43%
2022年07月04日,149.11,150.53,150.72,149.05,446.05K,-1.15%
2022年07月01日,150.85,148.76,151.65,148.24,955.05K,1.39%
2022年06月30日,148.78,146.97,149.35,146.50,977.26K,1.22%
2022年06月29日,146.99,145.36,147.37,145.14,839.07K,1.25%
2022年06月28日,145.18,146.34,146.80,144.72,795.50K,-0.89%
2022年06月27日,146.49,147.76,147.82,146.03,603.12K,-0.98%
2022年06月24日,147.94,147.70,149.00,146.91,781.65K,-0.17%
2022年06月23日,148.19,145.24,148.45,144.81,1.21M,2.00%
2022年06月22日,145.28,143.52,145.72,143.40,889.86K,1.36%
2022年06月21日,143.33,143.29,144.01,143.05,782.89K,-0.09%
2022年06月20日,143.46,144.29,144.98,143.15,586.74K,-0.58%
2022年06月17日,144.30,143.54,144.99,142.56,854.89K,0.39%
2022年06月16日,143.74,145.36,145.36,140.67,1.24M,-0.60%
2022年06月15日,144.61,142.73,145.51,142.25,1.29M,0.71%
2022年06月14日,143.59,144.65,145.58,142.29,1.26M,-1.10%
2022年06月13日,145.18,146.71,147.19,144.19,1.10M,-1.22%
2022年06月10日,146.98,147.74,148.51,146.61,956.29K,-0.55%
2022年06月09日,147.80,148.69,149.43,147.32,1.04M,-0.77%
2022年06月08日,148.94,149.48,149.60,148.68,793.36K,-0.39%
2022年06月07日,149.53,148.99,149.62,148.68,131.19K,0.39%
2022年06月06日,148.95,149.75,150.13,148.91,578.36K,-0.45%
2022年06月03日,149.63,150.13,150.35,149.57,875.62K,-0.42%
2022年06月02日,150.26,150.99,151.09,150.06,1.14M,-0.50%
2022年06月01日,151.01,151.53,151.85,150.78,1.83M,-0.37%
2022年05月31日,151.57,152.50,152.89,151.34,1.55M,-0.71%
2022年05月30日,152.65,153.48,153.52,152.36,638.12K,-0.71%
2022年05月27日,153.74,153.31,154.14,153.22,629.94K,0.31%
2022年05月26日,153.26,153.86,154.74,153.19,783.65K,-0.43%
2022年05月25日,153.92,153.55,154.43,153.48,802.67K,-0.01%
2022年05月24日,153.94,153.10,153.98,152.77,940.98K,0.54%
2022年05月23日,153.11,153.82,154.11,152.85,772.39K,-0.53%
2022年05月20日,153.93,153.60,154.22,153.16,676.71K,0.03%
2022年05月19日,153.88,153.07,154.45,152.48,935.72K,0.61%
2022年05月18日,152.94,152.58,153.06,151.89,942.44K,0.26%
2022年05月17日,152.54,153.72,153.74,152.33,863.00K,-0.97%
2022年05月16日,154.03,153.88,154.20,152.99,611.24K,0.18%
2022年05月13日,153.76,155.06,155.12,153.65,653.54K,-0.65%
2022年05月12日,154.76,153.85,155.33,153.61,1.06M,1.21%
2022年05月11日,152.91,152.64,153.86,151.87,1.02M,-0.03%
2022年05月10日,152.95,151.93,153.17,151.50,787.78K,0.80%
2022年05月09日,151.74,151.01,152.01,150.49,778.27K,0.53%
2022年05月06日,150.94,152.55,152.74,150.81,901.94K,-1.06%
2022年05月05日,152.55,153.60,154.18,152.15,970.86K,-0.41%
2022年05月04日,153.18,152.86,153.73,152.44,672.88K,-0.32%
2022年05月03日,153.67,153.34,154.10,152.66,759.38K,0.12%
2022年05月02日,153.49,153.61,154.19,153.23,421.18K,-0.07%
2022年04月29日,153.59,154.44,154.69,153.43,979.01K,-0.36%
2022年04月28日,154.15,155.35,156.00,154.02,961.40K,-0.84%
2022年04月27日,155.46,155.45,155.83,154.82,779.88K,-0.01%
2022年04月26日,155.48,154.77,155.74,154.18,786.59K,0.38%
2022年04月25日,154.89,153.14,155.26,153.11,814.83K,1.07%
2022年04月22日,153.25,153.47,153.92,153.05,732.99K,-0.36%
