日付け,終値,始値,高値,安値,出来高,変化率 %
2022年07月29日,110.135,110.150,110.175,109.990,553.49K,-0.09%
2022年07月28日,110.230,109.830,110.260,109.670,686.73K,0.32%
2022年07月27日,109.880,109.940,109.965,109.720,502.27K,-0.06%
2022年07月26日,109.950,109.850,110.020,109.795,434.55K,0.10%
2022年07月25日,109.835,109.760,109.860,109.695,399.86K,0.02%
2022年07月22日,109.815,109.375,109.935,109.350,663.58K,0.42%
2022年07月21日,109.355,109.470,109.510,108.950,826.57K,0.01%
2022年07月20日,109.345,109.300,109.540,109.255,496.92K,0.01%
2022年07月19日,109.335,109.550,109.625,109.230,518.74K,-0.21%
2022年07月18日,109.560,109.670,109.745,109.490,366.17K,-0.11%
2022年07月15日,109.680,109.655,109.855,109.550,396.71K,0.14%
2022年07月14日,109.525,109.610,109.680,109.270,599.22K,-0.10%
2022年07月13日,109.630,109.810,109.840,109.570,518.32K,-0.24%
2022年07月12日,109.895,109.650,109.925,109.630,458.70K,0.20%
2022年07月11日,109.675,109.440,109.705,109.420,306.28K,0.18%
2022年07月08日,109.480,109.475,109.620,109.410,342.41K,0.02%
2022年07月07日,109.455,109.610,109.690,109.400,584.89K,-0.33%
2022年07月06日,109.815,109.615,110.005,109.570,600.69K,0.12%
2022年07月05日,109.680,109.280,109.690,109.200,587.46K,0.40%
2022年07月04日,109.240,109.465,109.495,109.220,291.79K,-0.26%
2022年07月01日,109.530,109.130,109.715,109.090,597.49K,0.35%
2022年06月30日,109.145,108.805,109.240,108.760,839.59K,0.31%
2022年06月29日,108.810,108.520,108.995,108.505,607.14K,0.28%
2022年06月28日,108.505,108.660,108.720,108.425,418.02K,-0.16%
2022年06月27日,108.680,108.860,108.865,108.605,439.13K,-0.18%
2022年06月24日,108.880,108.800,109.030,108.695,508.76K,0.01%
2022年06月23日,108.865,108.340,108.925,108.290,742.29K,0.48%
2022年06月22日,108.340,108.125,108.380,108.105,418.32K,0.23%
2022年06月21日,108.095,108.070,108.180,108.025,304.58K,-0.01%
2022年06月20日,108.105,108.200,108.315,108.065,314.79K,-0.06%
2022年06月17日,108.175,107.960,108.245,107.885,532.49K,0.09%
2022年06月16日,108.075,108.285,108.375,107.705,809.11K,-0.15%
2022年06月15日,108.235,107.840,108.460,107.745,906.56K,0.28%
2022年06月14日,107.930,107.945,108.060,107.735,711.00K,-0.11%
2022年06月13日,108.045,108.435,108.495,107.915,792.47K,-0.37%
2022年06月10日,108.445,108.680,108.715,108.405,636.32K,-0.25%
2022年06月09日,108.715,108.950,109.180,108.665,781.10K,-1.00%
2022年06月08日,109.810,109.870,109.885,109.780,7.93K,-0.05%
2022年06月07日,109.865,109.820,109.920,109.780,102.55K,0.05%
2022年06月06日,109.805,109.895,109.925,109.800,425.53K,-0.06%
