日付け,終値,始値,高値,安値,出来高,変化率 %
2022年07月29日,8.229,8.155,8.388,8.010,77.77K,1.17%
2022年07月28日,8.134,8.580,8.845,8.103,89.24K,-4.91%
2022年07月27日,8.554,8.701,8.990,8.345,105.22K,-3.07%
2022年07月26日,8.825,8.667,9.419,8.568,146.56K,2.96%
2022年07月25日,8.571,8.273,8.704,8.202,79.05K,4.59%
2022年07月22日,8.195,7.780,8.293,7.652,86.58K,4.86%
2022年07月21日,7.815,7.769,8.045,7.485,84.55K,-1.06%
2022年07月20日,7.899,7.200,7.925,7.057,75.27K,10.48%
2022年07月19日,7.150,7.329,7.453,7.017,58.01K,-3.14%
2022年07月18日,7.382,7.021,7.460,6.987,52.89K,6.58%
2022年07月15日,6.926,6.584,7.047,6.351,49.32K,6.37%
2022年07月14日,6.511,6.544,6.806,6.461,69.08K,-1.18%
2022年07月13日,6.589,6.125,6.683,6.058,67.36K,9.43%
2022年07月12日,6.021,6.395,6.647,5.895,73.23K,-4.72%
2022年07月11日,6.319,6.314,6.590,6.160,70.94K,4.72%
2022年07月08日,6.034,6.188,6.305,6.012,,-4.18%
2022年07月07日,6.297,5.539,6.381,5.488,127.67K,14.28%
2022年07月06日,5.510,5.460,5.737,5.380,73.51K,-0.24%
2022年07月05日,5.523,5.712,5.907,5.325,110.17K,-5.64%
2022年07月04日,5.853,5.712,5.905,5.606,,2.52%
2022年07月03日,5.709,5.701,5.734,5.678,,-0.37%
2022年07月01日,5.730,5.701,5.950,5.590,106.97K,5.64%
2022年06月30日,5.424,6.428,6.602,5.357,182.58K,-16.53%
2022年06月29日,6.498,6.632,6.833,6.405,82.21K,-0.81%
2022年06月28日,6.551,6.449,6.765,6.386,2.46K,0.77%
2022年06月27日,6.501,6.126,6.538,6.010,33.10K,4.52%
2022年06月24日,6.220,6.228,6.337,6.021,26.57K,-0.30%
2022年06月23日,6.239,6.829,6.840,6.175,78.03K,-9.03%
2022年06月22日,6.858,6.844,6.930,6.575,92.47K,0.73%
2022年06月21日,6.808,6.800,6.976,6.554,120.01K,1.42%
2022年06月20日,6.713,6.706,6.840,6.635,,0.16%
2022年06月19日,6.702,6.752,6.758,6.659,,-3.49%
