日付け,終値,始値,高値,安値,出来高,変化率 %
2022年07月29日,"27,750.0","27,840.0","28,000.0","27,600.0",53.97K,-0.22%
2022年07月28日,"27,810.0","27,770.0","28,050.0","27,630.0",54.72K,-0.62%
2022年07月27日,"27,983.0","27,540.0","28,053.0","27,497.5",,1.60%
2022年07月26日,"27,543.0","27,643.0","27,703.0","27,407.5",,-0.39%
2022年07月25日,"27,650.0","27,680.0","27,833.0","27,602.5",,-0.05%
2022年07月24日,"27,665.0","27,695.0","27,708.0","27,630.0",,-0.11%
2022年07月22日,"27,695.0","27,760.0","27,953.0","27,567.5",,-0.25%
2022年07月21日,"27,765.0","27,575.0","27,883.0","27,533.0",,0.65%
2022年07月20日,"27,585.0","27,385.0","27,738.0","27,348.0",,0.73%
2022年07月19日,"27,385.0","26,968.0","27,438.0","26,760.0",,1.58%
2022年07月18日,"26,960.0","26,980.0","27,218.0","26,850.0",,-0.11%
2022年07月17日,"26,990.0","27,020.0","27,075.0","26,975.0",,0.06%
2022年07月15日,"26,975.0","26,775.0","26,988.0","26,542.5",,0.73%
2022年07月14日,"26,780.0","26,330.0","26,793.0","26,287.5",,1.65%
2022年07月13日,"26,345.0","26,390.0","26,543.0","26,212.5",,-0.11%
2022年07月12日,"26,375.0","26,660.0","26,678.0","26,237.5",,-1.05%
2022年07月11日,"26,655.0","26,905.0","27,038.0","26,530.0",,-0.91%
2022年07月10日,"26,900.0","26,775.0","26,935.0","26,735.0",,1.09%
2022年07月08日,"26,610.0","26,470.0","26,860.0","26,390.0",106.41K,0.45%
2022年07月07日,"26,490.0","26,150.0","26,530.0","26,030.0",75.59K,1.88%
2022年07月06日,"26,000.0","26,340.0","26,340.0","25,900.0",81.64K,-1.29%
2022年07月05日,"26,340.0","26,170.0","26,520.0","26,100.0",57.08K,0.61%
2022年07月04日,"26,180.0","25,880.0","26,320.0","25,870.0",87.62K,1.36%
2022年07月01日,"25,830.0","26,240.0","26,500.0","25,810.0",94.81K,-2.08%
2022年06月30日,"26,380.0","26,700.0","26,850.0","26,290.0",73.93K,-1.12%
2022年06月29日,"26,680.0","27,070.0","27,220.0","26,650.0",67.15K,-1.44%
2022年06月28日,"27,070.0","26,850.0","27,070.0","26,660.0",65.33K,1.12%
2022年06月27日,"26,770.0","26,430.0","26,890.0","26,410.0",72.38K,1.10%
2022年06月24日,"26,480.0","26,020.0","26,480.0","25,970.0",66.67K,1.38%
2022年06月23日,"26,120.0","26,000.0","26,400.0","25,940.0",75.87K,0.08%
2022年06月22日,"26,100.0","26,290.0","26,480.0","26,080.0",55.99K,-0.50%
2022年06月21日,"26,230.0","25,790.0","26,370.0","25,740.0",65.52K,1.75%
2022年06月20日,"25,780.0","25,890.0","26,170.0","25,450.0",103.00K,0.00%
2022年06月17日,"25,780.0","26,210.0","26,210.0","25,550.0",141.25K,-2.46%
2022年06月16日,"26,430.0","26,270.0","26,900.0","26,140.0",97.04K,0.57%
2022年06月15日,"26,280.0","26,540.0","26,660.0","26,230.0",79.43K,-1.43%
2022年06月14日,"26,660.0","26,860.0","26,880.0","26,290.0",117.56K,-0.67%
2022年06月13日,"26,840.0","27,670.0","27,780.0","26,840.0",111.34K,-3.63%
2022年06月10日,"27,850.0","28,230.0","28,350.0","27,740.0",71.80K,-1.59%
2022年06月09日,"28,300.0","28,200.0","28,400.0","28,100.0",23.28K,0.39%
2022年06月08日,"28,190.0","28,040.0","28,250.0","27,880.0",50.48K,0.64%
2022年06月07日,"28,010.0","27,940.0","28,120.0","27,860.0",61.60K,0.36%
2022年06月06日,"27,910.0","27,730.0","27,990.0","27,510.0",56.25K,0.43%
2022年06月03日,"27,790.0","27,530.0","27,800.0","27,420.0",58.52K,1.20%
2022年06月02日,"27,460.0","27,560.0","27,620.0","27,260.0",56.34K,-0.15%
2022年06月01日,"27,500.0","27,210.0","27,500.0","27,140.0",58.88K,0.88%
2022年05月31日,"27,260.0","27,370.0","27,470.0","27,250.0",49.22K,-0.51%
2022年05月30日,"27,400.0","26,840.0","27,410.0","26,830.0",57.79K,2.20%
2022年05月27日,"26,810.0","26,640.0","27,020.0","26,590.0",57.01K,0.75%
2022年05月26日,"26,610.0","26,690.0","26,900.0","26,490.0",56.53K,-0.26%
2022年05月25日,"26,680.0","26,740.0","26,840.0","26,520.0",50.59K,-0.22%
2022年05月24日,"26,740.0","27,030.0","27,140.0","26,730.0",64.38K,-1.15%
2022年05月23日,"27,050.0","26,780.0","27,050.0","26,370.0",76.70K,1.05%
2022年05月20日,"26,770.0","26,210.0","26,770.0","26,080.0",77.45K,1.52%
2022年05月19日,"26,370.0","26,860.0","26,930.0","26,120.0",82.47K,-1.82%
2022年05月18日,"26,860.0","26,650.0","27,060.0","26,640.0",64.02K,0.86%
2022年05月17日,"26,630.0","26,500.0","26,710.0","26,430.0",59.23K,0.57%
2022年05月16日,"26,480.0","26,390.0","26,870.0","26,370.0",77.39K,0.34%
2022年05月13日,"26,390.0","25,680.0","26,470.0","25,540.0",112.14K,2.41%
2022年05月12日,"25,770.0","26,150.0","26,380.0","25,680.0",104.23K,-1.83%
2022年05月11日,"26,250.0","26,290.0","26,330.0","25,920.0",93.58K,-0.08%
2022年05月10日,"26,270.0","26,420.0","26,460.0","25,760.0",105.57K,-0.45%
2022年05月09日,"26,390.0","27,000.0","27,090.0","26,310.0",93.03K,-2.66%
2022年05月06日,"27,110.0","26,900.0","27,110.0","26,540.0",80.19K,1.40%
2022年05月05日,"26,735.0","27,427.5","27,450.0","26,585.0",,-2.47%
2022年05月04日,"27,412.5","27,080.0","27,483.0","26,782.5",,1.23%
2022年05月03日,"27,080.0","26,818.0","27,113.0","26,812.5",,1.01%
2022年05月02日,"26,810.0","26,990.0","27,380.0","26,600.0",88.67K,0.21%
2022年04月29日,"26,755.0","27,167.5","27,465.0","26,700.0",,-0.43%
2022年04月28日,"26,870.0","26,230.0","26,880.0","26,180.0",89.11K,1.82%
2022年04月27日,"26,390.0","26,540.0","26,620.0","25,970.0",83.08K,-0.98%
2022年04月26日,"26,650.0","26,600.0","26,850.0","26,400.0",83.33K,0.41%
2022年04月25日,"26,540.0","27,070.0","27,230.0","26,470.0",88.55K,-2.07%
2022年04月22日,"27,100.0","27,520.0","27,760.0","26,890.0",64.52K,-1.53%
2022年04月21日,"27,520.0","27,200.0","27,580.0","27,080.0",47.60K,1.25%
2022年04月20日,"27,180.0","26,950.0","27,390.0","26,870.0",58.24K,0.48%
2022年04月19日,"27,050.0","26,730.0","27,110.0","26,660.0",57.78K,1.12%
2022年04月18日,"26,750.0","27,110.0","27,120.0","26,560.0",34.52K,-1.22%
2022年04月15日,"27,080.0","27,170.0","27,310.0","26,770.0",49.21K,-0.40%
