日付け,終値,始値,高値,安値,出来高,変化率 %
2022年07月29日,121.14,120.97,121.39,120.53,1.99M,0.13%
2022年07月28日,120.98,120.00,121.27,119.73,1.86M,0.47%
2022年07月27日,120.42,119.72,120.48,119.61,1.31M,0.47%
2022年07月26日,119.86,119.83,120.48,119.67,1.13M,0.17%
2022年07月25日,119.66,120.06,120.08,119.48,1.03M,-0.19%
2022年07月22日,119.89,119.12,120.34,118.94,1.80M,0.82%
2022年07月21日,118.91,117.81,119.20,117.45,1.81M,0.96%
2022年07月20日,117.78,117.91,118.55,117.73,1.15M,-0.16%
2022年07月19日,117.97,118.19,118.48,117.86,1.04M,-0.42%
2022年07月18日,118.47,118.66,118.92,118.00,934.84K,-0.14%
2022年07月15日,118.64,118.42,119.00,118.36,1.21M,0.12%
2022年07月14日,118.50,118.78,118.94,117.89,1.66M,-0.35%
2022年07月13日,118.92,118.55,119.19,117.75,2.14M,0.22%
2022年07月12日,118.66,118.30,119.09,118.30,1.47M,0.24%
2022年07月11日,118.38,117.69,118.59,117.58,1.10M,0.65%
2022年07月08日,117.62,118.36,118.62,117.56,1.35M,-0.55%
2022年07月07日,118.27,118.86,119.16,118.19,1.40M,-0.66%
2022年07月06日,119.05,119.89,120.52,118.84,1.62M,-0.73%
2022年07月05日,119.92,119.47,120.22,118.72,1.76M,0.68%
2022年07月04日,119.11,119.39,119.64,119.06,242.44K,-0.22%
2022年07月03日,119.38,119.45,119.50,119.31,11.38K,0.09%
2022年07月01日,119.27,118.28,120.12,118.19,1.99M,0.62%
2022年06月30日,118.53,117.55,118.56,117.44,1.85M,0.86%
2022年06月29日,117.52,116.89,117.59,116.83,1.24M,0.70%
2022年06月28日,116.70,116.75,117.03,116.34,1.28M,-0.09%
2022年06月27日,116.81,117.27,117.41,116.58,1.19M,-0.45%
2022年06月24日,117.34,117.53,118.00,117.22,1.33M,-0.27%
2022年06月23日,117.66,116.88,118.25,116.80,2.22M,0.61%
2022年06月22日,116.95,115.92,117.19,115.89,1.70M,0.52%
2022年06月21日,116.34,116.78,117.22,116.19,0.82K,0.36%
2022年06月20日,115.92,115.95,116.33,115.88,225.52K,-0.03%
2022年06月19日,115.95,116.20,116.20,115.78,27.49K,-0.63%
2022年06月17日,116.69,116.75,117.05,116.25,0.72K,0.30%
2022年06月16日,116.34,115.86,116.33,115.16,1.86K,0.56%
2022年06月15日,115.69,114.94,116.39,114.94,3.37K,0.63%
2022年06月14日,114.97,115.88,116.64,114.98,2.24K,-0.72%
2022年06月13日,115.80,117.03,117.09,115.25,7.46K,-1.29%
2022年06月10日,117.31,118.45,118.62,117.25,6.90K,-0.94%
2022年06月09日,118.42,118.55,118.73,118.25,3.18K,-0.16%
2022年06月08日,118.61,118.89,118.89,118.50,6.25K,-0.29%
2022年06月07日,118.95,118.45,119.05,118.23,7.17K,0.42%
2022年06月06日,118.45,119.13,119.23,118.42,17.28K,-0.50%
2022年06月03日,119.05,119.27,119.36,118.84,16.50K,-0.20%
2022年06月02日,119.28,119.20,119.36,119.00,24.64K,0.20%
2022年06月01日,119.05,119.80,119.88,118.92,54.58K,-0.66%
2022年05月31日,119.84,120.52,120.58,119.58,144.73K,-0.10%
2022年05月30日,119.97,120.56,120.56,119.95,51.16K,-0.48%
2022年05月29日,120.55,120.50,120.58,120.47,1.74K,0.05%
2022年05月27日,120.48,120.61,120.84,120.44,644.38K,-0.09%
2022年05月26日,120.59,120.59,120.97,120.31,1.86M,0.00%
2022年05月25日,120.59,120.41,120.81,120.30,3.37M,0.18%
2022年05月24日,120.38,119.66,120.69,119.56,3.48M,0.67%
2022年05月23日,119.58,120.11,120.11,119.48,1.63M,-0.46%
2022年05月20日,120.13,119.83,120.27,119.50,1.50M,0.35%
2022年05月19日,119.70,119.42,120.31,119.19,2.26M,0.22%
2022年05月18日,119.44,118.72,119.53,118.50,1.74M,0.49%
2022年05月17日,118.86,119.67,119.75,118.66,1.40M,-0.68%
2022年05月16日,119.67,119.20,119.86,119.05,1.17M,0.33%
2022年05月14日,119.28,119.28,119.28,119.28,-,0.09%
2022年05月13日,119.17,119.72,119.73,119.09,1.20M,-0.69%
2022年05月12日,120.00,119.19,120.02,119.14,2.00M,0.62%
2022年05月11日,119.27,118.77,119.41,118.11,2.22M,0.41%
2022年05月10日,118.78,118.45,119.19,118.25,1.81M,0.50%
2022年05月09日,118.19,117.63,118.61,117.27,1.71M,0.45%
2022年05月07日,117.66,117.66,117.66,117.66,-,-0.12%
2022年05月06日,117.80,118.19,118.30,117.58,1.75M,-0.22%
2022年05月05日,118.06,118.92,119.30,117.81,2.05M,-0.92%
2022年05月04日,119.16,118.38,119.20,118.14,1.78M,0.54%
2022年05月03日,118.52,118.39,118.94,118.14,1.39M,0.15%
