日付け,終値,始値,高値,安値,出来高,変化率 %
2022年07月29日,105.779,106.070,106.535,105.410,41.38K,-0.43%
2022年07月28日,106.236,106.265,106.850,105.925,39.03K,-0.09%
2022年07月27日,106.331,107.020,107.300,106.130,48.13K,-0.67%
2022年07月26日,107.044,106.315,107.150,106.055,29.92K,0.65%
2022年07月25日,106.355,106.405,106.760,106.065,23.70K,-0.25%
2022年07月22日,106.621,106.525,107.250,105.990,39.75K,-0.17%
2022年07月21日,106.804,106.975,107.250,106.300,36.50K,-0.14%
2022年07月20日,106.953,106.555,107.130,106.230,31.20K,0.38%
2022年07月19日,106.550,107.300,107.490,106.250,39.64K,-0.64%
2022年07月18日,107.231,107.815,107.900,106.745,28.18K,-0.63%
2022年07月15日,107.911,108.440,108.585,107.760,24.43K,-0.46%
2022年07月14日,108.407,108.070,109.140,108.015,42.04K,0.60%
2022年07月13日,107.756,108.030,108.415,107.270,38.69K,-0.14%
2022年07月12日,107.912,107.995,108.420,107.670,31.34K,0.08%
2022年07月11日,107.829,106.685,108.085,106.685,25.53K,0.94%
2022年07月08日,106.821,106.835,107.615,106.640,40.05K,-0.13%
2022年07月07日,106.959,106.870,107.050,106.530,21.33K,0.06%
2022年07月06日,106.898,106.330,107.070,106.135,38.05K,0.54%
2022年07月05日,106.320,104.915,106.580,104.835,50.06K,1.34%
2022年07月04日,104.909,104.910,105.055,104.580,10.92K,0.00%
2022年07月01日,104.909,104.515,105.440,104.515,20.12K,0.43%
2022年06月30日,104.464,104.835,105.315,104.405,30.31K,-0.37%
2022年06月29日,104.849,104.270,104.895,104.140,31.70K,0.56%
2022年06月28日,104.261,103.705,104.370,103.505,20.86K,0.56%
2022年06月27日,103.678,103.865,103.995,103.420,21.55K,-0.27%
2022年06月24日,103.959,104.155,104.280,103.740,26.03K,-0.22%
2022年06月23日,104.192,104.000,104.545,103.840,33.25K,0.20%
2022年06月22日,103.981,104.215,104.730,103.615,27.61K,-0.22%
2022年06月21日,104.211,104.245,104.315,103.730,15.50K,-0.27%
2022年06月20日,104.488,104.500,104.590,104.015,12.23K,0.00%
2022年06月17日,104.488,103.685,104.885,103.640,33.36K,1.04%
2022年06月16日,103.417,104.600,105.280,103.200,45.61K,-1.45%
2022年06月15日,104.935,105.130,105.565,104.425,61.62K,-0.39%
2022年06月14日,105.342,105.005,105.475,104.480,33.47K,0.36%
2022年06月13日,104.966,104.100,105.150,104.095,53.58K,0.78%
2022年06月10日,104.151,103.300,104.235,103.060,18.28K,0.90%
2022年06月09日,103.218,102.590,103.365,102.090,32.61K,0.66%
2022年06月08日,102.546,102.405,102.780,102.265,34.47K,0.22%
2022年06月07日,102.325,102.475,102.850,102.260,26.22K,-0.12%
2022年06月06日,102.447,102.230,102.475,101.865,20.90K,0.28%
2022年06月03日,102.160,101.780,102.245,101.660,14.93K,0.32%
2022年06月02日,101.832,102.600,102.645,101.745,21.91K,-0.68%
2022年06月01日,102.529,101.770,102.750,101.770,19.39K,0.75%
2022年05月31日,101.766,101.420,102.205,101.420,20.17K,0.46%
2022年05月30日,101.305,101.670,101.735,101.300,10.53K,-0.39%
2022年05月27日,101.698,101.750,101.955,101.455,16.94K,-0.16%
2022年05月26日,101.858,102.100,102.290,101.760,13.82K,-0.21%
2022年05月25日,102.077,101.760,102.470,101.750,22.75K,0.20%
2022年05月24日,101.870,102.145,102.335,101.655,28.49K,-0.22%
2022年05月23日,102.097,103.020,103.070,102.045,31.09K,-1.04%
2022年05月20日,103.173,102.950,103.295,102.805,20.45K,0.41%
2022年05月19日,102.751,103.870,103.935,102.695,28.63K,-1.07%
2022年05月18日,103.862,103.350,103.960,103.235,30.63K,0.44%
2022年05月17日,103.407,104.175,104.260,103.250,28.48K,-0.76%
2022年05月16日,104.200,104.650,104.700,104.155,22.16K,-0.40%
2022年05月13日,104.621,104.835,105.065,104.500,33.58K,-0.26%
2022年05月12日,104.897,104.070,104.955,103.915,45.49K,0.98%
2022年05月11日,103.874,103.955,104.150,103.405,-,-0.07%
