日付け,終値,始値,高値,安値,出来高,変化率 %
2022年07月31日,3.5600,3.5925,3.5925,3.5465,,-0.89%
2022年07月29日,3.5920,3.4928,3.5928,3.4607,,2.84%
2022年07月28日,3.4928,3.4657,3.5260,3.4520,,1.85%
2022年07月27日,3.4295,3.3935,3.4838,3.3680,0.24K,1.39%
2022年07月26日,3.3825,3.4000,3.4515,3.3750,0.37K,0.94%
2022年07月25日,3.3510,3.3215,3.4000,3.3205,0.59K,0.07%
2022年07月22日,3.3485,3.3240,3.3695,3.3190,0.43K,1.41%
2022年07月21日,3.3020,3.3270,3.3270,3.2750,0.49K,-0.83%
2022年07月20日,3.3295,3.3030,3.3590,3.3030,0.60K,1.15%
2022年07月19日,3.2915,3.2905,3.2940,3.2655,0.47K,-1.69%
2022年07月18日,3.3480,3.3140,3.3605,3.3140,0.56K,3.51%
2022年07月15日,3.2345,3.1540,3.2540,3.1500,0.42K,0.75%
2022年07月14日,3.2105,3.2690,3.2775,3.1870,0.59K,-3.46%
2022年07月13日,3.3255,3.3135,3.3325,3.2300,0.42K,0.88%
2022年07月12日,3.2965,3.4000,3.4090,3.2600,0.53K,-4.10%
2022年07月11日,3.4375,3.4300,3.4785,3.3980,0.61K,-2.68%
2022年07月08日,3.5320,3.5115,3.5430,3.4755,0.64K,-1.40%
2022年07月07日,3.5820,3.4645,3.5820,3.4435,0.48K,4.80%
2022年07月06日,3.4180,3.4545,3.4635,3.3700,0.93K,-0.20%
2022年07月05日,3.4250,3.6080,3.6180,3.4245,0.92K,-4.44%
2022年07月04日,3.5840,3.6117,3.6172,3.5457,,-0.76%
2022年07月03日,3.6115,3.6120,3.6235,3.6080,,-0.21%
2022年07月01日,3.6190,3.6850,3.7040,3.5710,1.11K,-2.57%
2022年06月30日,3.7145,3.7780,3.7810,3.6855,1.29K,-1.71%
2022年06月29日,3.7790,3.7550,3.8130,3.7075,4.70K,0.13%
2022年06月28日,3.7740,3.7535,3.8430,3.7325,26.39K,0.31%
2022年06月27日,3.7625,3.7395,3.8130,3.7360,44.87K,0.59%
2022年06月24日,3.7405,3.7410,3.7980,3.6400,66.10K,0.04%
2022年06月23日,3.7390,3.9325,3.9465,3.7230,66.11K,-5.20%
2022年06月22日,3.9440,4.0240,4.0280,3.8805,67.59K,-2.35%
2022年06月21日,4.0390,3.9975,4.0830,3.9455,81.09K,0.70%
2022年06月20日,4.0110,4.0385,4.0385,3.9460,,-0.66%
2022年06月19日,4.0375,4.0228,4.0400,4.0180,,0.60%
2022年06月17日,4.0135,4.1025,4.1160,3.9900,48.22K,-2.30%
2022年06月16日,4.1080,4.1730,4.2190,4.0410,67.95K,-1.33%
2022年06月15日,4.1635,4.1440,4.2040,4.1170,48.46K,0.17%
2022年06月14日,4.1565,4.2005,4.2510,4.1160,64.83K,-1.31%
2022年06月13日,4.2115,4.2775,4.2780,4.1700,85.78K,-1.93%
2022年06月10日,4.2945,4.3680,4.3830,4.2745,62.80K,-1.97%
2022年06月09日,4.3810,4.4450,4.4515,4.3555,63.34K,-1.65%
2022年06月08日,4.4545,4.4435,4.4575,4.3965,55.10K,0.43%
2022年06月07日,4.4355,4.4325,4.4615,4.3705,62.70K,0.01%
2022年06月06日,4.4350,4.4670,4.4720,4.4060,63.74K,-0.83%
2022年06月03日,4.4720,4.5550,4.5770,4.4580,41.71K,-1.77%
2022年06月02日,4.5525,4.3280,4.5690,4.3075,71.81K,5.18%
2022年06月01日,4.3285,4.2855,4.3500,4.2590,56.00K,0.76%
2022年05月31日,4.2960,4.3200,4.3665,4.2740,65.27K,-0.88%
2022年05月30日,4.3340,4.3225,4.3595,4.3098,,0.25%
2022年05月29日,4.3232,4.3215,4.3260,4.3170,,0.39%
2022年05月27日,4.3065,4.2730,4.3270,4.2550,37.16K,1.12%
2022年05月26日,4.2590,4.2685,4.2800,4.2035,41.96K,0.11%
2022年05月25日,4.2545,4.3140,4.3225,4.2230,44.20K,-1.17%
2022年05月24日,4.3050,4.3410,4.3415,4.2565,45.14K,-0.93%
2022年05月23日,4.3455,4.2945,4.3550,4.2720,50.50K,1.65%
2022年05月20日,4.2750,4.2775,4.3275,4.2505,45.49K,-0.19%
2022年05月19日,4.2830,4.1550,4.2980,4.1445,56.57K,2.50%
2022年05月18日,4.1785,4.2295,4.2480,4.1315,45.56K,-1.43%
2022年05月17日,4.2390,4.2030,4.2835,4.2030,45.16K,1.13%
2022年05月16日,4.1915,4.1795,4.2200,4.1335,41.78K,0.40%
2022年05月13日,4.1750,4.0860,4.1850,4.0550,49.92K,1.82%
2022年05月12日,4.1005,4.2115,4.2230,4.0370,67.53K,-2.58%
2022年05月11日,4.2090,4.1550,4.2500,4.1485,54.18K,1.31%
2022年05月10日,4.1545,4.1960,4.2580,4.1285,57.71K,-0.93%
2022年05月09日,4.1935,4.2380,4.2450,4.1240,68.33K,-1.72%
2022年05月06日,4.2670,4.2905,4.3190,4.2310,47.86K,-0.57%
2022年05月05日,4.2915,4.3670,4.4400,4.2765,61.50K,-1.07%
2022年05月04日,4.3380,4.2990,4.3835,4.2510,50.39K,1.28%
2022年05月03日,4.2830,4.2855,4.3600,4.2635,52.69K,0.35%
2022年05月02日,4.2680,4.3930,4.4040,4.2040,47.30K,-3.19%
2022年04月29日,4.4085,4.4440,4.5120,4.3715,49.49K,-0.56%
2022年04月28日,4.4335,4.4645,4.4935,4.3865,50.92K,-0.93%
2022年04月27日,4.4750,4.4155,4.5145,4.4155,71.22K,0.25%
2022年04月26日,4.4640,4.4995,4.5445,4.4080,58.65K,-0.18%
2022年04月25日,4.4720,4.6020,4.6220,4.4300,75.15K,-2.82%
2022年04月22日,4.6020,4.7010,4.7235,4.5890,40.30K,-2.55%
2022年04月21日,4.7225,4.6865,4.7355,4.6545,31.52K,1.01%
2022年04月20日,4.6755,4.7215,4.7310,4.6465,30.34K,-1.35%
2022年04月19日,4.7395,4.8225,4.8285,4.7015,29.60K,-1.70%
2022年04月18日,4.8215,4.7600,4.8600,4.7055,16.55K,2.14%
2022年04月15日,4.7205,4.7205,4.7205,4.7205,,-0.43%
2022年04月14日,4.7410,4.7170,4.7580,4.6850,15.69K,0.22%
2022年04月13日,4.7305,4.7110,4.7710,4.6920,27.14K,0.06%
2022年04月12日,4.7275,4.6455,4.7420,4.6415,31.71K,1.68%
2022年04月11日,4.6495,4.7420,4.7500,4.6395,36.20K,-1.86%
2022年04月08日,4.7375,4.7240,4.7750,4.7125,27.08K,0.61%
2022年04月07日,4.7090,4.7100,4.7370,4.6810,23.28K,-0.77%
2022年04月06日,4.7455,4.7705,4.7930,4.7055,16.34K,-1.17%
2022年04月05日,4.8015,4.7860,4.8615,4.7585,9.27K,0.31%
2022年04月04日,4.7865,4.7130,4.8130,4.6950,10.40K,1.97%
2022年04月01日,4.6940,4.7245,4.7565,4.6750,13.63K,-1.29%
2022年03月31日,4.7555,4.7510,4.7725,4.7095,10.40K,0.02%
2022年03月30日,4.7545,4.7550,4.8235,4.7305,12.25K,0.45%
2022年03月29日,4.7330,4.7235,4.7590,4.7005,7.01K,0.10%
2022年03月28日,4.7285,4.6910,4.7425,4.6445,7.44K,0.61%
2022年03月25日,4.7000,4.7300,4.7700,4.6870,5.15K,-0.91%
2022年03月24日,4.7430,4.7730,4.8130,4.7095,7.50K,-0.66%
2022年03月23日,4.7745,4.7085,4.7830,4.6905,6.64K,1.59%
